,variant_and_allele,p_value,trait,gene
197,rs429358-<b>?</b>,1e-300,late-onset Alzheimers disease,APOE
6,rs7412-<b>?</b>,3e-105,late-onset Alzheimers disease,APOE
168,rs4663105-<b>?</b>,4e-58,late-onset Alzheimers disease,NIFKP9
168,rs4663105-<b>?</b>,4e-58,late-onset Alzheimers disease,BIN1
203,rs10119-<b>?</b>,2e-57,late-onset Alzheimers disease,TOMM40
0,APOE-<b>?</b>,1e-49,late-onset Alzheimers disease,UNKNOWN
184,rs1582763-<b>?</b>,3e-33,late-onset Alzheimers disease,MS4A4A
185,rs561655-<b>?</b>,1e-26,late-onset Alzheimers disease,PICALM
185,rs561655-<b>?</b>,1e-26,late-onset Alzheimers disease,RNU6-560P
174,rs187370608-<b>?</b>,1e-25,late-onset Alzheimers disease,UNC5CL
174,rs187370608-<b>?</b>,1e-25,late-onset Alzheimers disease,LRFN2
166,rs679515-<b>?</b>,2e-25,late-onset Alzheimers disease,CR1
10,rs75932628-<b>T</b>,5e-24,late-onset Alzheimers disease,TREM2
179,rs1532278-<b>?</b>,2e-22,late-onset Alzheimers disease,CLU
175,rs9369716-<b>?</b>,2e-17,late-onset Alzheimers disease,CD2AP
188,rs12590654-<b>?</b>,7e-17,late-onset Alzheimers disease,SLC24A4
201,rs6069737-<b>?</b>,6.999999999999999e-16,late-onset Alzheimers disease,CASS4
177,rs7384878-<b>?</b>,9e-16,late-onset Alzheimers disease,PMS2P1
196,rs12151021-<b>?</b>,3.0000000000000002e-15,late-onset Alzheimers disease,ABCA7
189,rs602602-<b>?</b>,6.0000000000000005e-15,late-onset Alzheimers disease,SNORD3P1
189,rs602602-<b>?</b>,6.0000000000000005e-15,late-onset Alzheimers disease,MINDY2
181,rs7912495-<b>?</b>,8e-15,late-onset Alzheimers disease,ECHDC3
181,rs7912495-<b>?</b>,8e-15,late-onset Alzheimers disease,USP6NL-AS1
7,rs143332484-<b>T</b>,2e-14,late-onset Alzheimers disease,TREM2
173,rs1846190-<b>?</b>,3e-14,late-onset Alzheimers disease,HLA-DRB1
173,rs1846190-<b>?</b>,3e-14,late-onset Alzheimers disease,HLA-DQA1
186,rs11218343-<b>?</b>,1e-13,late-onset Alzheimers disease,SORL1
150,rs114812713-<b>C</b>,2e-13,late-onset Alzheimers disease,OARD1
170,rs4504245-<b>?</b>,5e-12,late-onset Alzheimers disease,MIR572
170,rs4504245-<b>?</b>,5e-12,late-onset Alzheimers disease,LINC02498
190,rs117618017-<b>?</b>,7e-12,late-onset Alzheimers disease,APH1B
148,rs7920721-<b>G</b>,2e-11,late-onset Alzheimers disease,ECHDC3
148,rs7920721-<b>G</b>,2e-11,late-onset Alzheimers disease,USP6NL-AS1
178,rs3935067-<b>?</b>,4.9999999999999995e-11,late-onset Alzheimers disease,EPHA1
187,rs7146179-<b>?</b>,6.999999999999999e-11,late-onset Alzheimers disease,GNPNAT1
187,rs7146179-<b>?</b>,6.999999999999999e-11,late-onset Alzheimers disease,FERMT2
4,rs6656401-<b>?</b>,6.999999999999999e-11,late-onset Alzheimers disease,CR1
199,rs1354106-<b>?</b>,2e-10,late-onset Alzheimers disease,CD33
8,rs616338-<b>T</b>,5e-10,late-onset Alzheimers disease,ABI3
9,rs72824905-<b>?</b>,5e-10,late-onset Alzheimers disease,PLCG2
193,rs28394864-<b>?</b>,5e-10,late-onset Alzheimers disease,ZNF652
193,rs28394864-<b>?</b>,5e-10,late-onset Alzheimers disease,PHB
13,rs139967528-<b>G</b>,6e-10,late-onset Alzheimers disease,ATP5F1C
194,rs2632516-<b>?</b>,7.000000000000001e-10,late-onset Alzheimers disease,TSPOAP1-AS1
172,rs6891966-<b>?</b>,8e-10,late-onset Alzheimers disease,HAVCR2
202,rs2154482-<b>?</b>,8e-10,late-onset Alzheimers disease,APP
195,rs6504163-<b>?</b>,1e-09,late-onset Alzheimers disease,PPIAP55
195,rs6504163-<b>?</b>,1e-09,late-onset Alzheimers disease,CYB561
171,rs871269-<b>?</b>,1e-09,late-onset Alzheimers disease,TNIP1
192,rs708382-<b>?</b>,2e-09,late-onset Alzheimers disease,RPL7L1P5
192,rs708382-<b>?</b>,2e-09,late-onset Alzheimers disease,FAM171A2
200,rs1761461-<b>?</b>,2e-09,late-onset Alzheimers disease,VN1R104P
200,rs1761461-<b>?</b>,2e-09,late-onset Alzheimers disease,LILRA5
176,rs5011436-<b>?</b>,3.0000000000000004e-09,late-onset Alzheimers disease,TMEM106B
180,rs61732533-<b>?</b>,3.0000000000000004e-09,late-onset Alzheimers disease,OPLAH
149,rs138190086-<b>A</b>,5e-09,late-onset Alzheimers disease,PPIAP55
149,rs138190086-<b>A</b>,5e-09,late-onset Alzheimers disease,CYB561
169,rs7597763-<b>?</b>,5e-09,late-onset Alzheimers disease,INPP5D
142,rs593742-<b>A</b>,7.000000000000001e-09,late-onset Alzheimers disease,ADAM10
142,rs593742-<b>A</b>,7.000000000000001e-09,late-onset Alzheimers disease,SNORD3P1
183,rs3740688-<b>?</b>,9.000000000000001e-09,late-onset Alzheimers disease,SPI1
167,rs115186657-<b>?</b>,1e-08,late-onset Alzheimers disease,FHL2
167,rs115186657-<b>?</b>,1e-08,late-onset Alzheimers disease,NCK2
141,rs7185636-<b>T</b>,2e-08,late-onset Alzheimers disease,IQCK
198,rs2452170-<b>?</b>,2e-08,late-onset Alzheimers disease,MAMSTR
198,rs2452170-<b>?</b>,2e-08,late-onset Alzheimers disease,FUT2
204,rs189753894-<b>?</b>,2e-08,late-onset Alzheimers disease,CACNA1A
205,rs2280575-<b>?</b>,2e-08,late-onset Alzheimers disease,LRIG1
191,rs7209200-<b>?</b>,3.0000000000000004e-08,late-onset Alzheimers disease,ZFP3-DT
191,rs7209200-<b>?</b>,3.0000000000000004e-08,late-onset Alzheimers disease,SLC52A1
143,rs2830500-<b>C</b>,3.0000000000000004e-08,late-onset Alzheimers disease,ADAMTS1
182,rs7902657-<b>?</b>,4e-08,late-onset Alzheimers disease,LINC01553
182,rs7902657-<b>?</b>,4e-08,late-onset Alzheimers disease,ANK3
165,rs113020870-<b>?</b>,4e-08,late-onset Alzheimers disease,AGRN
151,rs62039712-<b>A</b>,4e-08,late-onset Alzheimers disease,RNA5SP431
133,rs112404845-<b>A</b>,4e-08,late-onset Alzheimers disease,ROBO2P1
146,rs2632516-<b>G</b>,5e-08,late-onset Alzheimers disease,TSPOAP1-AS1
139,rs16961023-<b>C</b>,5e-08,late-onset Alzheimers disease,SLC10A2
1,rs1060743-<b>?</b>,5e-08,late-onset Alzheimers disease,BIN1
144,rs4735340-<b>T</b>,9e-08,late-onset Alzheimers disease,NDUFAF6
40,rs150631144-<b>T</b>,1e-07,late-onset Alzheimers disease,RNU6-909P
17,rs148619105-<b>?</b>,1e-07,late-onset Alzheimers disease,TECTA
12,rs11828907-<b>C</b>,2e-07,late-onset Alzheimers disease,AHNAK
96,rs137869973-<b>T</b>,2e-07,late-onset Alzheimers disease,KCTD9P6
153,rs71618613-<b>A</b>,3e-07,late-onset Alzheimers disease,LINC02109
152,rs35868327-<b>T</b>,3e-07,late-onset Alzheimers disease,UNKNOWN
145,rs10467994-<b>T</b>,4e-07,late-onset Alzheimers disease,SPPL2A
147,rs7295246-<b>G</b>,4e-07,late-onset Alzheimers disease,ADAMTS20
147,rs7295246-<b>G</b>,4e-07,late-onset Alzheimers disease,EEF1A1P17
118,rs147150305-<b>A</b>,4e-07,late-onset Alzheimers disease,PLCL1
74,rs181696879-<b>A</b>,4e-07,late-onset Alzheimers disease,MCPH1-AS1
84,rs56249755-<b>A</b>,5e-07,late-onset Alzheimers disease,FAM240B
70,rs141976661-<b>A</b>,5e-07,late-onset Alzheimers disease,LINC00624
97,rs72840936-<b>C</b>,5e-07,late-onset Alzheimers disease,STEAP3-AS1
66,rs144573434-<b>T</b>,5e-07,late-onset Alzheimers disease,UNKNOWN
140,rs72842919-<b>A</b>,5e-07,late-onset Alzheimers disease,RPS20P10
16,rs56009889-<b>?</b>,6e-07,late-onset Alzheimers disease,ATM
16,rs56009889-<b>?</b>,6e-07,late-onset Alzheimers disease,C11orf65
65,rs116050881-<b>T</b>,6e-07,late-onset Alzheimers disease,LINC01725
5,rs7232-<b>?</b>,6e-07,late-onset Alzheimers disease,MS4A6A
108,rs144998240-<b>A</b>,8e-07,late-onset Alzheimers disease,COL25A1
51,rs7313581-<b>T</b>,8e-07,late-onset Alzheimers disease,KRAS
83,rs62179067-<b>T</b>,8e-07,late-onset Alzheimers disease,SESTD1
161,rs182921547-<b>?</b>,8e-07,late-onset Alzheimers disease,UNKNOWN
112,rs142835438-<b>A</b>,8e-07,late-onset Alzheimers disease,ZBTB10
112,rs142835438-<b>A</b>,8e-07,late-onset Alzheimers disease,RPSAP47
123,rs115798104-<b>A</b>,9e-07,late-onset Alzheimers disease,MECOM
109,rs138543081-<b>T</b>,1e-06,late-onset Alzheimers disease,ZNF462
110,rs192013290-<b>T</b>,1e-06,late-onset Alzheimers disease,HMCN1
41,rs8077028-<b>T</b>,1e-06,late-onset Alzheimers disease,CEP295NL
41,rs8077028-<b>T</b>,1e-06,late-onset Alzheimers disease,TIMP2
23,rs193129245-<b>A</b>,1e-06,late-onset Alzheimers disease,UNKNOWN
114,rs921390-<b>T</b>,1e-06,late-onset Alzheimers disease,UNKNOWN
21,rs73865608-<b>A</b>,1e-06,late-onset Alzheimers disease,LINC02273
21,rs73865608-<b>A</b>,1e-06,late-onset Alzheimers disease,RNA5SP169
48,rs3820443-<b>T</b>,1e-06,late-onset Alzheimers disease,PIFO
88,rs76816469-<b>T</b>,1e-06,late-onset Alzheimers disease,CDH1
111,rs144077517-<b>A</b>,2e-06,late-onset Alzheimers disease,SCAPER
117,rs145282773-<b>T</b>,2e-06,late-onset Alzheimers disease,HMGA2
117,rs145282773-<b>T</b>,2e-06,late-onset Alzheimers disease,HMGA2-AS1
105,rs144464515-<b>C</b>,2e-06,late-onset Alzheimers disease,ZNRF4
105,rs144464515-<b>C</b>,2e-06,late-onset Alzheimers disease,PTPRS
120,rs142660142-<b>T</b>,2e-06,late-onset Alzheimers disease,LINGO1
121,rs139638356-<b>T</b>,2e-06,late-onset Alzheimers disease,UNKNOWN
122,rs144167489-<b>T</b>,2e-06,late-onset Alzheimers disease,SUMO1P2
122,rs144167489-<b>T</b>,2e-06,late-onset Alzheimers disease,LINC00626
134,rs183256737-<b>A</b>,2e-06,late-onset Alzheimers disease,SEC24B-AS1
155,rs187857322-<b>?</b>,2e-06,late-onset Alzheimers disease,OR7E59P
155,rs187857322-<b>?</b>,2e-06,late-onset Alzheimers disease,OR7E136P
162,rs8111708-<b>?</b>,2e-06,late-onset Alzheimers disease,ELL
3,rs3865444-<b>?</b>,2e-06,late-onset Alzheimers disease,SIGLEC22P
3,rs3865444-<b>?</b>,2e-06,late-onset Alzheimers disease,CD33
62,rs147597631-<b>T</b>,2e-06,late-onset Alzheimers disease,TCF15
62,rs147597631-<b>T</b>,2e-06,late-onset Alzheimers disease,CSNK2A1
67,rs181228315-<b>A</b>,2e-06,late-onset Alzheimers disease,TMEM94
75,rs146322114-<b>A</b>,2e-06,late-onset Alzheimers disease,PCSK6
11,rs78541046-<b>?</b>,2e-06,late-onset Alzheimers disease,RHBDF1
59,rs62177277-<b>T</b>,2e-06,late-onset Alzheimers disease,SESTD1
37,rs188392327-<b>A</b>,2e-06,late-onset Alzheimers disease,UGT1A8
37,rs188392327-<b>A</b>,2e-06,late-onset Alzheimers disease,UGT1A10
85,rs115317194-<b>T</b>,2e-06,late-onset Alzheimers disease,SLMAP
87,rs7698880-<b>C</b>,2e-06,late-onset Alzheimers disease,UNC93B4
58,rs73732514-<b>A</b>,2e-06,late-onset Alzheimers disease,CTD-2194D22.4
100,rs73239797-<b>A</b>,2e-06,late-onset Alzheimers disease,RNU7-188P
100,rs73239797-<b>A</b>,2e-06,late-onset Alzheimers disease,SEM1
93,rs72998574-<b>T</b>,2e-06,late-onset Alzheimers disease,R3HDM2P2
54,rs184992198-<b>T</b>,2e-06,late-onset Alzheimers disease,BNIP3P13
54,rs184992198-<b>T</b>,2e-06,late-onset Alzheimers disease,ZNF90
138,rs139195876-<b>A</b>,2e-06,late-onset Alzheimers disease,NACAP6
129,rs183291664-<b>T</b>,3e-06,late-onset Alzheimers disease,SCAPER
