"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs1979398-<b>?</b>,"3 x 10-6",,NR,1.23,'-,[NR],ITGA1,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST004778,5:52898497
rs9677504-<b>G</b>,"9 x 10-7",,NR,1.066098,'-,NR,SPAG16,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST007543,2:214317165
rs11591402-<b>T</b>,"4 x 10-9",,NR,1.0471205,'-,NR,SORCS3,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST007543,10:104987596
rs2243517-<b>C</b>,"4 x 10-8",,NR,1.035,'-,NR,OBI1-AS1,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST007543,13:78330662
rs56135409-<b>C</b>,"5 x 10-8",,NR,1.0309278,'-,NR,SGO1-AS1,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST007543,3:20683524
rs4916723-<b>C</b>,"7 x 10-7",,NR,1.025,'-,NR,LINC00461,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST007543,5:88558577
rs74760947-<b>G</b>,"5 x 10-6",,NR,1.004,'-,NR,'-,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST007543,8:34495092
rs2391769-<b>A</b>,"5 x 10-7",,NR,1.013,'-,NR,"RN7SL831P, EEF1A1P11","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST007543,1:96513405
rs4858241-<b>T</b>,"1 x 10-6",,NR,1.017294,'-,NR,SGO1-AS1,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST007543,3:20627579
rs1427829-<b>A</b>,"7 x 10-9",,NR,1.021,'-,NR,"DUSP6, POC1B","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST007543,12:89366967
rs28452470-<b>A</b>,"3 x 10-6",,NR,1.042,'-,NR,"CADPS2, FEZF1","Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST007543,7:122317528
rs5886709-<b>G</b>,"4 x 10-10",,NR,1.049,'-,NR,FOXP2,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST007543,7:114446079
rs1592757-<b>C</b>,"1 x 10-9",,NR,1.062,'-,NR,'-,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST007543,5:104554297
rs10956838-<b>A</b>,"1 x 10-6",,NR,1.0626992,'-,NR,'-,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST007543,8:92392214
rs3001723-<b>A</b>,"1 x 10-8",,NR,1.075,'-,NR,PTPRF,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST007543,1:43572014
rs4275621-<b>A</b>,"3 x 10-9",,NR,1.081081,'-,NR,LINC02758,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST007543,11:28631449
rs113551349-<b>?</b>,"4 x 10-10",,NR,0.89,'-,NR,SLC6A9,"Attention deficit hyperactivity disorder","attention deficit hyperactivity disorder",'-,GCST012096,1:44009451
