variant_and_allele,p_value,trait,gene,location,af
rs12410155-<b>?</b>,8e-14,attention deficit hyperactivity disorder,ST3GAL3-AS1,1:43722794,-1.0
rs12410155-<b>?</b>,8e-14,attention deficit hyperactivity disorder,ST3GAL3,1:43722794,-1.0
rs12658032-<b>A</b>,1e-13,attention deficit hyperactivity disorder,LINC02163,5:104568525,0.3206607236497116
rs12658032-<b>A</b>,1e-13,attention deficit hyperactivity disorder,RNU6-334P,5:104568525,0.3206607236497116
rs11420276-<b>?</b>,2e-13,attention deficit hyperactivity disorder,ST3GAL3,1:43718522,-1.0
rs11420276-<b>?</b>,2e-13,attention deficit hyperactivity disorder,ST3GAL3-AS1,1:43718522,-1.0
rs112361411-<b>T</b>,2e-13,attention deficit hyperactivity disorder,ST3GAL3-AS1,1:43718252,0.14593890256261766
rs112361411-<b>T</b>,2e-13,attention deficit hyperactivity disorder,ST3GAL3,1:43718252,0.14593890256261766
rs6584649-<b>?</b>,1.0000000000000001e-11,attention deficit hyperactivity disorder,SORCS3,10:104985346,-1.0
rs12265655-<b>T</b>,2.0000000000000002e-11,attention deficit hyperactivity disorder,SORCS3,10:104984776,0.7229751191106405
rs12658032-<b>?</b>,1e-10,attention deficit hyperactivity disorder,LINC02163,5:104568525,-1.0
rs12658032-<b>?</b>,1e-10,attention deficit hyperactivity disorder,RNU6-334P,5:104568525,-1.0
rs113551349-<b>?</b>,4e-10,attention deficit hyperactivity disorder,SLC6A9,1:44009451,-1.0
rs5886709-<b>G</b>,4e-10,attention deficit hyperactivity disorder,FOXP2,7:114446079,-1.0
rs11192193-<b>?</b>,1e-09,attention deficit hyperactivity disorder,SORCS3,10:104809495,-1.0
rs78648104-<b>T</b>,1e-09,attention deficit hyperactivity disorder,TFAP2D,6:50715296,0.9109282310391555
rs1592757-<b>C</b>,1e-09,attention deficit hyperactivity disorder,UNKNOWN,5:104554297,0.31286394917946003
rs10789368-<b>A</b>,1e-09,attention deficit hyperactivity disorder,LINC01360,1:73348476,0.5329678696512867
rs13023832-<b>A</b>,2e-09,attention deficit hyperactivity disorder,SPAG16,2:214355084,0.037349547090209705
rs35928531-<b>?</b>,2e-09,attention deficit hyperactivity disorder,POC1B,12:89354807,-1.0
rs35928531-<b>?</b>,2e-09,attention deficit hyperactivity disorder,DUSP6,12:89354807,-1.0
rs1427829-<b>?</b>,2e-09,attention deficit hyperactivity disorder,DUSP6,12:89366967,-1.0
rs1427829-<b>?</b>,2e-09,attention deficit hyperactivity disorder,POC1B,12:89366967,-1.0
rs4275621-<b>A</b>,3.0000000000000004e-09,attention deficit hyperactivity disorder,LINC02758,11:28631449,0.7369926199261992
rs8084351-<b>?</b>,4e-09,attention deficit hyperactivity disorder,DCC,18:53200189,-1.0
rs11591402-<b>T</b>,4e-09,attention deficit hyperactivity disorder,SORCS3,10:104987596,0.8816881918819188
rs74760947-<b>?</b>,4e-09,attention deficit hyperactivity disorder,UNKNOWN,8:34495092,-1.0
rs16828074-<b>?</b>,6.000000000000001e-09,attention deficit hyperactivity disorder,NCL,2:231454043,-1.0
rs1427829-<b>A</b>,7.0000000000000015e-09,attention deficit hyperactivity disorder,DUSP6,12:89366967,0.5126521969295924
rs1427829-<b>A</b>,7.0000000000000015e-09,attention deficit hyperactivity disorder,POC1B,12:89366967,0.5126521969295924
rs281297-<b>?</b>,7.0000000000000015e-09,attention deficit hyperactivity disorder,SEMA6D,15:47393307,-1.0
