"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs2133896-<b>T</b>,"4 x 10-9",,0.2215,'-,"0.104 unit increase",[0.069-0.139],ANKS1B,"Alcohol dependence or heroin dependence or methamphetamine dependence","alcohol dependence, heroin dependence, methamphetamine dependence",'-,GCST008645,12:99455122
rs147247472-<b>A</b>,"3 x 10-12",,0.0174,'-,"0.348 unit increase",[0.25-0.45],"AGBL4-IT1, AGBL4","Alcohol dependence or heroin dependence or methamphetamine dependence","alcohol dependence, heroin dependence, methamphetamine dependence",'-,GCST008645,1:49441901
rs10196867-<b>C</b>,"5 x 10-9",,0.0297,'-,"0.243 unit increase",[0.16-0.33],CTNNA2,"Alcohol dependence or heroin dependence or methamphetamine dependence","alcohol dependence, heroin dependence, methamphetamine dependence",'-,GCST008645,2:79751234
rs11731003-<b>T</b>,"4 x 10-9",,0.15,'-,"0.9 unit increase",'-,SORCS2,"Alcohol withdrawal symptoms","alcohol withdrawal",'-,GCST008137,4:7388545
rs10042968-<b>G</b>,"8 x 10-7","(Combined, AA replication)",NR,1.42,'-,[NR],'-,"Alcohol and nicotine co-dependence","alcohol and nicotine codependence",'-,GCST001769,5:63737891
rs7445832-<b>A</b>,"1 x 10-9","(Combined, Australian replication)",NR,1.15,'-,[NR],'-,"Alcohol and nicotine co-dependence","alcohol and nicotine codependence",'-,GCST001769,5:63290474
rs528301-<b>?</b>,"5 x 10-6",,NR,'-,'-,'-,LINC01833,"Alcohol and nicotine co-dependence","alcohol and nicotine codependence",'-,GCST001471,2:44927769
rs9636470-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,RGPD2,"Alcohol and nicotine co-dependence","alcohol and nicotine codependence",'-,GCST001471,2:87866942
rs1318937-<b>?</b>,"4 x 10-7",,NR,'-,'-,'-,"CAPN7, SH3BP5-AS1","Alcohol and nicotine co-dependence","alcohol and nicotine codependence",'-,GCST001471,3:15253857
rs1570989-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,HIVEP1,"Alcohol and nicotine co-dependence","alcohol and nicotine codependence",'-,GCST001471,6:12048594
rs17427389-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,PLEKHG1,"Alcohol and nicotine co-dependence","alcohol and nicotine codependence",'-,GCST001471,6:150841979
rs1426153-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,PKNOX2,"Alcohol and nicotine co-dependence","alcohol and nicotine codependence",'-,GCST001471,11:125300743
