"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs11265461-<b>C</b>,"2 x 10-7",,0.41,1.45,'-,[1.26-1.67],"SLAMF1, SETP9","Schizophrenia (treatment resistant)","treatment refractory schizophrenia",'-,GCST001458,1:160660353
rs230529-<b>T</b>,"2 x 10-7",,0.47,1.45,'-,[1.26-1.66],NFKB1,"Schizophrenia (treatment resistant)","treatment refractory schizophrenia",'-,GCST001458,4:102536261
rs2237457-<b>T</b>,"6 x 10-7","(Recessive model)",0.36,1.74,'-,[NR],GRB10,"Schizophrenia (treatment resistant)","treatment refractory schizophrenia",'-,GCST002604,7:50658447
rs2269372-<b>A</b>,"4 x 10-8",,NR,1.313,'-,[NR],RENBP,Schizophrenia,schizophrenia,'-,GCST002190,X:153942092
rs7597593-<b>T</b>,"9 x 10-11",,NR,1.066,'-,[1.05-1.09],ZNF804A,Schizophrenia,schizophrenia,'-,GCST004946,2:184668853
rs6846161-<b>A</b>,"1 x 10-9",,NR,1.067,'-,[1.05-1.09],GPM6A,Schizophrenia,schizophrenia,'-,GCST004946,4:175945308
rs3735025-<b>T</b>,"4 x 10-12",,NR,1.068,'-,[1.05-1.09],DGKI,Schizophrenia,schizophrenia,'-,GCST004946,7:137390098
rs2057884-<b>T</b>,"2 x 10-12",,NR,1.069,'-,[1.05-1.09],SRPK2,Schizophrenia,schizophrenia,'-,GCST004946,7:105289803
rs215411-<b>A</b>,"6 x 10-10",,NR,1.069,'-,[1.05-1.09],RFPL4AP3,Schizophrenia,schizophrenia,'-,GCST004946,4:23421980
rs7273691-<b>T</b>,"8 x 10-8",,NR,1.069,'-,[1.05-1.09],PHACTR3,Schizophrenia,schizophrenia,'-,GCST004946,20:59678449
rs72843506-<b>A</b>,"4 x 10-8",,NR,1.07,'-,[1.05-1.09],SPECC1,Schizophrenia,schizophrenia,'-,GCST004946,17:20042974
rs55757091-<b>A</b>,"2 x 10-7",,NR,1.071,'-,[1.05-1.1],"SLC7A6, SLC7A6OS",Schizophrenia,schizophrenia,'-,GCST004946,16:68289751
rs2970610-<b>T</b>,"1 x 10-12",,NR,1.072,'-,[1.05-1.09],'-,Schizophrenia,schizophrenia,'-,GCST004946,"Mapping not available"
