,variant_and_allele,p_value,trait,gene
2214,rs3130820-<b>?</b>,2e-44,schizophrenia,OR2U1P
2214,rs3130820-<b>?</b>,2e-44,schizophrenia,OR2G1P
58,rs115329265-<b>A</b>,4.9999999999999994e-36,schizophrenia,NOP56P1
58,rs115329265-<b>A</b>,4.9999999999999994e-36,schizophrenia,RPSAP2
410,rs9257566-<b>?</b>,7e-30,schizophrenia,OR2J2
410,rs9257566-<b>?</b>,7e-30,schizophrenia,OR2J4P
2329,rs150817755-<b>T</b>,1e-29,schizophrenia,OR2U1P
2329,rs150817755-<b>T</b>,1e-29,schizophrenia,OR2G1P
1256,rs13217619-<b>T</b>,2e-29,schizophrenia,ZSCAN31
619,rs33932084-<b>A</b>,2.9999999999999997e-29,schizophrenia,PGBD1
1334,rs144447022-<b>G</b>,2e-28,schizophrenia,OR14J1
1334,rs144447022-<b>G</b>,2e-28,schizophrenia,OR2U2P
2560,rs33932084-<b>?</b>,3e-28,schizophrenia,PGBD1
2048,rs144447022-<b>?</b>,9e-28,schizophrenia,OR14J1
2048,rs144447022-<b>?</b>,9e-28,schizophrenia,OR2U2P
1995,rs115329265-<b>?</b>,1e-27,schizophrenia,NOP56P1
1995,rs115329265-<b>?</b>,1e-27,schizophrenia,RPSAP2
2557,rs75782365-<b>?</b>,2e-27,schizophrenia,BTN3A1
1638,rs34706883-<b>A</b>,5e-27,schizophrenia,H2BC15
1638,rs34706883-<b>A</b>,5e-27,schizophrenia,H4C12
1666,rs41266839-<b>G</b>,7e-27,schizophrenia,BTN3A1
1416,rs55834529-<b>A</b>,9e-27,schizophrenia,UNKNOWN
2045,rs34706883-<b>?</b>,2e-26,schizophrenia,H2BC15
2045,rs34706883-<b>?</b>,2e-26,schizophrenia,H4C12
2330,rs116757206-<b>G</b>,1e-25,schizophrenia,OR2AD1P
2330,rs116757206-<b>G</b>,1e-25,schizophrenia,ZNF311
331,rs75970938-<b>?</b>,2e-25,schizophrenia,CNNM2
2331,rs114071887-<b>G</b>,7e-25,schizophrenia,OR5V1
2331,rs114071887-<b>G</b>,7e-25,schizophrenia,OR12D3
356,rs1716180-<b>?</b>,2e-23,schizophrenia,MPHOSPH9
2332,rs17720293-<b>C</b>,3e-23,schizophrenia,ZKSCAN4
2223,rs182812355-<b>A</b>,7e-23,schizophrenia,TRIM27
1993,rs7746199-<b>?</b>,7e-23,schizophrenia,POM121L2
2224,rs9467711-<b>A</b>,2e-22,schizophrenia,BTN3A2
2224,rs9467711-<b>A</b>,2e-22,schizophrenia,H3C9P
2225,rs115123779-<b>G</b>,4e-22,schizophrenia,LINC02829
1990,rs34661691-<b>?</b>,6e-22,schizophrenia,H2BC6
447,rs7596038-<b>?</b>,7e-22,schizophrenia,VRK2
2226,rs116408368-<b>T</b>,1e-21,schizophrenia,TRIM26
