,variant_and_allele,p_value,trait,gene,location
200,rs8034191-<b>T</b>,1e-70,nicotine dependence,HYKK,15:78513681
212,rs1229984-<b>C</b>,1e-31,alcohol dependence,ADH1B,4:99318162
304,rs1229984-<b>?</b>,2.9999999999999995e-21,alcohol dependence,ADH1B,4:99318162
228,rs2075633-<b>?</b>,5e-21,alcohol dependence,ADH1B,4:99317841
195,rs1051730-<b>T</b>,5.999999999999999e-20,nicotine dependence,CHRNA3,15:78601997
184,rs34684276-<b>A</b>,4e-17,nicotine dependence,HYKK,15:78520813
202,rs6011779-<b>T</b>,4e-16,nicotine dependence,CHRNA4,20:63352965
201,rs56113850-<b>T</b>,4e-16,nicotine dependence,CYP2A6,19:40847202
192,rs1451240-<b>?</b>,6.999999999999999e-16,nicotine dependence,CHRNB3,8:42691568
199,rs56116178-<b>A</b>,2e-13,nicotine dependence,FAM163B,9:133595102
229,rs11066001-<b>?</b>,7e-12,alcohol dependence,BRAP,12:111681367
126,rs2377339-<b>G</b>,1e-11,drug dependence,UNKNOWN,Mapping not available
127,"rs4851870-<b>C</b>, rs12043259-<b>A</b>, rs6747023-<b>G</b>, rs7589342-<b>T</b>, rs2377339-<b>G</b>, rs7589561-<b>T</b>, rs1465641-<b>A</b>, rs1465639-<b>G</b>, rs2163349-<b>T</b>, rs12995849-<b>T</b>, rs12995333-<b>T</b>, rs6741172-<b>A</b>, rs2163350-<b>C</b>, rs4851095-<b>C</b>",2e-11,drug dependence,NCK2; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes,2:105820800
218,rs2066702-<b>G</b>,4e-11,alcohol dependence,ADH1B,4:99307860
214,rs1437396-<b>T</b>,1e-10,alcohol dependence,MTIF2,2:55278320
214,rs1437396-<b>T</b>,1e-10,alcohol dependence,PRORSD1P,2:55278320
118,rs9829896-<b>?</b>,4e-10,drug dependence,KAT2B,3:20135980
148,rs2394476-<b>T</b>,1e-09,drug dependence,SLC25A16,10:68496075
5,rs7445832-<b>A</b>,1e-09,alcohol and nicotine codependence,UNKNOWN,5:63290474
33,rs7783012-<b>A</b>,2e-09,cannabis dependence,FOXP2,7:114476826
219,rs1789882-<b>G</b>,2e-09,alcohol dependence,ADH1B,4:99313896
220,rs1693457-<b>T</b>,2e-09,alcohol dependence,UNKNOWN,Mapping not available
