variant_and_allele,p_value,trait,gene,location
rs113507694-<b>G</b>,2e-07,borderline personality disorder,DPPA3,12:7714013
rs11784341-<b>T</b>,2e-06,borderline personality disorder,SRSF3P2,8:95945502
rs57726666-<b>A</b>,2e-06,borderline personality disorder,GACAT3,2:16063204
chr2:159476445-<b>?</b>,2e-06,borderline personality disorder,UNKNOWN,2:159476445
rs76695126-<b>T</b>,3e-06,borderline personality disorder,STX8,17:9523407
rs184224980-<b>C</b>,3e-06,borderline personality disorder,CAMK1D,10:12623139
rs11110253-<b>A</b>,4e-06,borderline personality disorder,UNKNOWN,12:78524661
rs6922614-<b>T</b>,4e-06,borderline personality disorder,SNX9,6:157785332
rs7074356-<b>A</b>,4.9999999999999996e-06,borderline personality disorder,UNKNOWN,Mapping not available
rs8104156-<b>T</b>,4.9999999999999996e-06,borderline personality disorder,MIR1283-1,19:53689916
rs8104156-<b>T</b>,4.9999999999999996e-06,borderline personality disorder,MIR520A,19:53689916
chr7:76213662-<b>?</b>,4.9999999999999996e-06,borderline personality disorder,UNKNOWN,7:76213662
rs6975373-<b>T</b>,6e-06,borderline personality disorder,CYP3A54P,7:4427848
rs13136239-<b>G</b>,6e-06,borderline personality disorder,MAML3,4:139987601
rs7859734-<b>C</b>,7e-06,borderline personality disorder,GAS1,9:86947439
rs2145737-<b>T</b>,7e-06,borderline personality disorder,TRDN,6:123558777
rs34416917-<b>G</b>,7e-06,borderline personality disorder,RNA5SP181,5:36406516
rs283386-<b>G</b>,7e-06,borderline personality disorder,GAP43,3:115696987
rs62127626-<b>A</b>,7e-06,borderline personality disorder,CRTC1P1,2:52492153
rs62127626-<b>A</b>,7e-06,borderline personality disorder,GGCTP3,2:52492153
rs187785463-<b>G</b>,7e-06,borderline personality disorder,DPYD,1:97686569
rs115689122-<b>A</b>,8e-06,borderline personality disorder,LINC01867,2:52378941
chr7:27669577-<b>?</b>,8e-06,borderline personality disorder,UNKNOWN,7:27669577
rs675828-<b>G</b>,8e-06,borderline personality disorder,CCDC168,13:102698383
rs675828-<b>G</b>,8e-06,borderline personality disorder,METTL21C,13:102698383
rs1985762-<b>T</b>,8e-06,borderline personality disorder,TMEM92-AS1,17:50326715
rs1985762-<b>T</b>,8e-06,borderline personality disorder,XYLT2,17:50326715
rs9520569-<b>T</b>,8e-06,borderline personality disorder,FAM155A,13:107750203
rs187058036-<b>C</b>,8e-06,borderline personality disorder,LINC02296,14:87426463
chr3:77677315-<b>?</b>,9e-06,borderline personality disorder,UNKNOWN,3:77677315
rs150592717-<b>T</b>,9e-06,borderline personality disorder,IGKV1D-35,2:89897307
rs150592717-<b>T</b>,9e-06,borderline personality disorder,IGKV3D-34,2:89897307
rs114497090-<b>A</b>,9e-06,borderline personality disorder,FERD3L,7:19177901
