"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs1755715-<b>?</b>,"9 x 10-7",(female),'-,'-,"0.235 unit decrease",[0.14-0.33],GPR135,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,14:59440374
rs12769537-<b>?</b>,"2 x 10-6",(female),'-,'-,"0.458 unit increase",[0.27-0.65],"NHLRC2, ADRB1","Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,10:113985179
rs76983293-<b>?</b>,"2 x 10-6",(female),'-,'-,"0.549 unit increase",[0.32-0.78],LINC00702,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,10:4174671
rs75502311-<b>?</b>,"3 x 10-6",(female),'-,'-,"0.397 unit increase",[0.23-0.56],LMO7,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,13:75856884
rs13110899-<b>?</b>,"3 x 10-6",(female),'-,'-,"0.225 unit decrease",[0.13-0.32],GRID2,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,4:92380531
rs352766-<b>?</b>,"4 x 10-6",(female),'-,'-,"0.296 unit decrease",[0.17-0.42],"PPM1AP1, TUSC3","Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,8:15787050
rs1017722-<b>?</b>,"5 x 10-6",(female),'-,'-,"0.401 unit increase",[0.23-0.57],'-,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,12:84644357
rs1840717-<b>?</b>,"6 x 10-6",(female),'-,'-,"0.205 unit decrease",[0.12-0.29],GRID2,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,4:93035284
rs12635725-<b>?</b>,"6 x 10-8",(male),'-,'-,"0.291 unit decrease",[0.19-0.4],RPL21P17,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,3:1895465
rs28696717-<b>?</b>,"1 x 10-6",(male),'-,'-,"0.436 unit decrease",[0.26-0.61],"RN7SL44P, S100A7","Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,1:153493087
rs2927709-<b>?</b>,"3 x 10-6",(male),'-,'-,"0.262 unit decrease",[0.15-0.37],CD320,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,19:8304859
rs11502414-<b>?</b>,"3 x 10-6",(male),'-,'-,"0.546 unit decrease",[0.32-0.77],"SLCO1B3, SLCO1C1","Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,12:20773248
rs73001203-<b>?</b>,"3 x 10-6",(male),'-,'-,"0.403 unit decrease",[0.23-0.57],Y_RNA,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,18:78450570
rs7183340-<b>?</b>,"3 x 10-6",(male),'-,'-,"0.415 unit increase",[0.24-0.59],TUBGCP5,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,15:22987562
rs118110667-<b>?</b>,"3 x 10-6",(male),'-,'-,"0.54 unit decrease",[0.31-0.77],"HCAR3, HCAR2","Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,12:122703817
rs11768490-<b>?</b>,"4 x 10-6",(male),'-,'-,"0.239 unit decrease",[0.14-0.34],"SEC61G, RPL31P35","Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,7:54719568
rs6450514-<b>?</b>,"4 x 10-6",(male),'-,'-,"0.244 unit decrease",[0.14-0.35],PDE4D,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,5:59254713
rs1260555-<b>?</b>,"5 x 10-6",(male),'-,'-,"0.245 unit decrease",[0.14-0.35],"LSM14A, CHCHD2P3","Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,19:34149686
rs12536521-<b>?</b>,"3 x 10-7",(female),'-,'-,"1.378 unit increase",[0.85-1.9],"FLNC, ZNF804B","Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,7:89349373
rs2364841-<b>?</b>,"8 x 10-7",(female),'-,'-,"0.322 unit increase",[0.19-0.45],ADCK1,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST007208,14:77817693
rs4401971-<b>?</b>,"4 x 10-7",,NR,'-,'-,'-,'-,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST002451,9:11890045
rs6876547-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,'-,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST002451,5:25572192
rs1844437-<b>C</b>,"2 x 10-6",,0.22,'-,"0.62 unit decrease",[NR],LINC02101,Hoarding,"obsessive-compulsive disorder",'-,GCST000932,5:58025127
rs2388436-<b>G</b>,"6 x 10-6",,0.42,'-,"0.51 unit increase",[NR],"LINC01581, H3P40",Hoarding,"obsessive-compulsive disorder",'-,GCST000932,15:94146424
rs3747767-<b>A</b>,"7 x 10-7",,0.03,'-,"1.81 unit increase",[NR],"SH3BGRL2, LCA5",Hoarding,"obsessive-compulsive disorder",'-,GCST000932,6:79547564
rs297941-<b>?</b>,"5 x 10-7",,NR,1.23,'-,NR,LINC02395,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST001636,12:49925303
rs9499708-<b>?</b>,"3 x 10-6",,NR,1.2,'-,NR,R3HDM2P2,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST001636,6:103997492
rs9652236-<b>?</b>,"5 x 10-6",,NR,1.4,'-,NR,'-,"Obsessive-compulsive disorder","obsessive-compulsive disorder",'-,GCST001636,13:72114636
rs7524258-<b>T</b>,"8 x 10-6",,0.40,1.16,'-,[NR],CAMTA1,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,1:7232169
rs35881094-<b>G</b>,"7 x 10-6",,0.43,1.16,'-,[NR],LINC01122,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,2:58695786
rs73070160-<b>T</b>,"3 x 10-6",,0.14,1.24,'-,[NR],FECHP1,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,3:34883533
rs4988462-<b>T</b>,"4 x 10-7",,0.42,1.18,'-,[NR],POU1F1,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,3:87264203
rs149183310-<b>T</b>,"2 x 10-6",,0.044,1.52,'-,[NR],LSAMP,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,3:116214742
rs61792199-<b>G</b>,"9 x 10-6",,0.15,1.23,'-,[NR],DMP1,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,4:22921626
rs859980-<b>C</b>,"7 x 10-6",,0.53,1.15,'-,[NR],NPM1P10,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,6:104053323
rs10973956-<b>A</b>,"7 x 10-6",,0.16,1.23,'-,[NR],"YWHABP1, RNU6-765P","Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,9:38645058
rs7848024-<b>A</b>,"5 x 10-6",,0.27,1.19,'-,[NR],'-,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,9:102810755
rs11021169-<b>G</b>,"8 x 10-6",,0.92,1.3,'-,[NR],'-,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,11:95467263
rs4271390-<b>T</b>,"1 x 10-6",,0.25,1.2,'-,[NR],NECTIN1,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,11:119655426
rs6563569-<b>C</b>,"6 x 10-6",,0.44,1.16,'-,[NR],TRPC4,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,13:37686271
rs11149058-<b>T</b>,"1 x 10-6",,0.78,1.22,'-,[NR],"RPL7P44, ACOD1","Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,13:76978136
rs12959570-<b>G</b>,"4 x 10-6",,0.23,1.2,'-,[NR],WDR7,"Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,18:56666353
rs55797066-<b>C</b>,"8 x 10-6",,0.06,1.33,'-,[NR],"ATP9A, NFATC2","Tourette's syndrome or obsessive-compulsive disorder","obsessive-compulsive disorder, Tourette syndrome",'-,GCST002682,20:51593381
rs4785741-<b>T</b>,"7 x 10-7",,NR,'-,"70.9925 unit increase",[42.97-99.02],"DEF8, TUBB3","Obsessive-compulsive disorder or autism spectrum disorder","obsessive-compulsive disorder, autism spectrum disorder",'-,GCST004703,16:89939045
rs72722664-<b>A</b>,"2 x 10-6",,NR,'-,"30.6385 unit increase",[17.99-43.29],"BCL10, DDAH1","Obsessive-compulsive disorder or autism spectrum disorder","obsessive-compulsive disorder, autism spectrum disorder",'-,GCST004703,1:85313923
rs2075824-<b>T</b>,"4 x 10-6",,NR,'-,"56.9756 unit increase",[32.75-81.2],IMPA2,"Obsessive-compulsive disorder or autism spectrum disorder","obsessive-compulsive disorder, autism spectrum disorder",'-,GCST004703,18:11981209
rs11735612-<b>A</b>,"4 x 10-6",,NR,'-,"66.5774 unit increase",[38.14-95.02],LINC02172,"Obsessive-compulsive disorder or autism spectrum disorder","obsessive-compulsive disorder, autism spectrum disorder",'-,GCST004703,4:137582680
rs75216060-<b>A</b>,"7 x 10-6",,NR,'-,"61.3145 unit decrease",[34.62-88.01],'-,"Obsessive-compulsive disorder or autism spectrum disorder","obsessive-compulsive disorder, autism spectrum disorder",'-,GCST004703,8:13943870
rs17080138-<b>T</b>,"7 x 10-6",,NR,'-,"22 unit increase",[12.41-31.59],FBXW12,"Obsessive-compulsive disorder or autism spectrum disorder","obsessive-compulsive disorder, autism spectrum disorder",'-,GCST004703,3:48372784
