,variant_and_allele,p_value,trait,gene,location,maf
2214,rs3130820-<b>?</b>,2e-44,schizophrenia,OR2U1P,6:29238906,-1.0
2214,rs3130820-<b>?</b>,2e-44,schizophrenia,OR2G1P,6:29238906,-1.0
58,rs115329265-<b>A</b>,4.9999999999999994e-36,schizophrenia,NOP56P1,6:28744470,-1.0
58,rs115329265-<b>A</b>,4.9999999999999994e-36,schizophrenia,RPSAP2,6:28744470,-1.0
410,rs9257566-<b>?</b>,7e-30,schizophrenia,OR2J2,6:29176755,-1.0
410,rs9257566-<b>?</b>,7e-30,schizophrenia,OR2J4P,6:29176755,-1.0
2329,rs150817755-<b>T</b>,1e-29,schizophrenia,OR2U1P,6:29238906,-1.0
2329,rs150817755-<b>T</b>,1e-29,schizophrenia,OR2G1P,6:29238906,-1.0
1256,rs13217619-<b>T</b>,2e-29,schizophrenia,ZSCAN31,6:28338894,0.9182843334675795
619,rs33932084-<b>A</b>,2.9999999999999997e-29,schizophrenia,PGBD1,6:28301047,0.9226042939430965
1334,rs144447022-<b>G</b>,2e-28,schizophrenia,OR14J1,6:29276442,0.9283748014822657
1334,rs144447022-<b>G</b>,2e-28,schizophrenia,OR2U2P,6:29276442,0.9283748014822657
2560,rs33932084-<b>?</b>,3e-28,schizophrenia,PGBD1,6:28301047,-1.0
2048,rs144447022-<b>?</b>,9e-28,schizophrenia,OR14J1,6:29276442,-1.0
2048,rs144447022-<b>?</b>,9e-28,schizophrenia,OR2U2P,6:29276442,-1.0
1995,rs115329265-<b>?</b>,1e-27,schizophrenia,NOP56P1,6:28744470,-1.0
1995,rs115329265-<b>?</b>,1e-27,schizophrenia,RPSAP2,6:28744470,-1.0
2557,rs75782365-<b>?</b>,2e-27,schizophrenia,BTN3A1,6:26408323,-1.0
1638,rs34706883-<b>A</b>,5e-27,schizophrenia,H2BC15,6:27837477,0.929673174414842
1638,rs34706883-<b>A</b>,5e-27,schizophrenia,H4C12,6:27837477,0.929673174414842
1666,rs41266839-<b>G</b>,7e-27,schizophrenia,BTN3A1,6:26409662,0.9324732436155558
