"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs6670211-<b>C</b>,"2 x 10-6",,0.5347,1.1276096,'-,'-,PTPRU,"Tourette syndrome","Tourette syndrome",'-,GCST007277,1:29250272
rs2708146-<b>A</b>,"8 x 10-7",,0.545,1.1293023,'-,'-,LINC01122,"Tourette syndrome","Tourette syndrome",'-,GCST007277,2:58728818
rs13407215-<b>T</b>,"2 x 10-7",,0.017,2.2106795,'-,'-,'-,"Tourette syndrome","Tourette syndrome",'-,GCST007277,2:160688380
rs1865896-<b>G</b>,"3 x 10-6",,0.5052,1.1227713,'-,'-,SGPP2,"Tourette syndrome","Tourette syndrome",'-,GCST007277,2:222469223
rs6445765-<b>C</b>,"3 x 10-6",,0.6279,1.1271586,'-,'-,ERC2,"Tourette syndrome","Tourette syndrome",'-,GCST007277,3:56058870
rs73205493-<b>T</b>,"2 x 10-6",,0.3436,1.1509641,'-,'-,CFAP99,"Tourette syndrome","Tourette syndrome",'-,GCST007277,4:2458844
rs4047771-<b>A</b>,"4 x 10-7",,0.6764,1.154076,'-,'-,RNA5SP172,"Tourette syndrome","Tourette syndrome",'-,GCST007277,4:177549744
rs147208935-<b>T</b>,"2 x 10-6",,0.01,1.8606018,'-,'-,TENM2,"Tourette syndrome","Tourette syndrome",'-,GCST007277,5:167853450
rs1906252-<b>C</b>,"3 x 10-7",,0.5086999999999999,1.1348494,'-,'-,"MIR2113, EIF4EBP2P3","Tourette syndrome","Tourette syndrome",'-,GCST007277,6:98102413
rs72673503-<b>A</b>,"7 x 10-6",,0.1451,1.1701126,'-,'-,'-,"Tourette syndrome","Tourette syndrome",'-,GCST007277,8:92205896
rs117780640-<b>C</b>,"3 x 10-6",,0.8639,1.2153109,'-,'-,"SNORD3H, TSPYL5","Tourette syndrome","Tourette syndrome",'-,GCST007277,8:97308702
rs117648881-<b>G</b>,"6 x 10-7",,0.9762,1.6571512,'-,'-,CSMD3,"Tourette syndrome","Tourette syndrome",'-,GCST007277,8:112569669
rs72734943-<b>A</b>,"4 x 10-6",,0.014,1.9006578,'-,'-,RNU6-1228P,"Tourette syndrome","Tourette syndrome",'-,GCST007277,9:75215240
rs191044310-<b>T</b>,"6 x 10-7",,0.9778,1.7931969,'-,'-,"OTUD1, C10orf67","Tourette syndrome","Tourette syndrome",'-,GCST007277,10:23416522
rs17137210-<b>C</b>,"5 x 10-6",,0.011700000000000044,1.747699,'-,'-,TENM4,"Tourette syndrome","Tourette syndrome",'-,GCST007277,11:78822066
rs10846381-<b>T</b>,"1 x 10-6",,0.5897,1.1308845,'-,'-,"LMO3, MGST1","Tourette syndrome","Tourette syndrome",'-,GCST007277,12:16599165
rs1619561-<b>C</b>,"2 x 10-6",,0.7659,1.1511943,'-,'-,PITPNM2,"Tourette syndrome","Tourette syndrome",'-,GCST007277,12:123135721
rs2504235-<b>A</b>,"2 x 10-7",,0.3848,1.1403098,'-,'-,FLT3,"Tourette syndrome","Tourette syndrome",'-,GCST007277,13:28038749
rs66489957-<b>T</b>,"4 x 10-6",,0.7692,1.1447657,'-,'-,TSHR,"Tourette syndrome","Tourette syndrome",'-,GCST007277,14:81133860
rs4886520-<b>C</b>,"7 x 10-6",,0.5532,1.1175066,'-,'-,"INSYN1, CD276","Tourette syndrome","Tourette syndrome",'-,GCST007277,15:73724281
rs66904072-<b>G</b>,"7 x 10-6",,0.0363,1.3617901,'-,'-,EFL1,"Tourette syndrome","Tourette syndrome",'-,GCST007277,15:82133524
rs74772983-<b>A</b>,"9 x 10-6",,0.9281,1.2448313,'-,'-,XYLT1,"Tourette syndrome","Tourette syndrome",'-,GCST007277,16:17399267
rs150975336-<b>G</b>,"4 x 10-7",,0.026900000000000035,1.5866106,'-,'-,"MUC16, BOLA3P2","Tourette syndrome","Tourette syndrome",'-,GCST007277,19:8995481
rs12459560-<b>T</b>,"9 x 10-7",,0.1535,1.1823453,'-,'-,"ZNF577, FPR3","Tourette syndrome","Tourette syndrome",'-,GCST007277,19:51815127
rs7868992-<b>G</b>,"3 x 10-8",,0.28,1.29,'-,[NR],COL27A1,"Tourette syndrome","Tourette syndrome",'-,GCST001635,9:114228791
