,variant_and_allele,p_value,trait,gene,location,maf
72,rs9834970-<b>T</b>,1e-21,bipolar i disorder,LINC02033,3:36814539,0.5017460389214113
72,rs9834970-<b>T</b>,1e-21,bipolar i disorder,HSPD1P6,3:36814539,0.5017460389214113
329,rs68188794-<b>T</b>,2e-21,bipolar disorder,UNKNOWN,Mapping not available,0.9314675839066083
623,rs34706883-<b>?</b>,7e-20,bipolar disorder,H2BC15,6:27837477,-1.0
623,rs34706883-<b>?</b>,7e-20,bipolar disorder,H4C12,6:27837477,-1.0
626,rs144447022-<b>?</b>,7e-20,bipolar disorder,OR14J1,6:29276442,-1.0
626,rs144447022-<b>?</b>,7e-20,bipolar disorder,OR2U2P,6:29276442,-1.0
780,rs68188794-<b>?</b>,2e-19,bipolar disorder,UNKNOWN,Mapping not available,-1.0
621,rs75782365-<b>?</b>,3.0000000000000002e-18,bipolar disorder,BTN3A1,6:26408323,-1.0
755,rs4298967-<b>?</b>,5.0000000000000005e-17,bipolar disorder,UNKNOWN,Mapping not available,-1.0
778,rs55834529-<b>?</b>,6e-17,bipolar disorder,UNKNOWN,Mapping not available,-1.0
348,rs4298967-<b>A</b>,1e-16,bipolar disorder,UNKNOWN,Mapping not available,0.32080497905213956
96,rs11062170-<b>G</b>,2e-16,bipolar i disorder,CACNA1C,12:2239678,0.6950238221281101
745,rs9834970-<b>?</b>,3e-16,bipolar disorder,LINC02033,3:36814539,-1.0
745,rs9834970-<b>?</b>,3e-16,bipolar disorder,HSPD1P6,3:36814539,-1.0
705,rs1487445-<b>C</b>,1e-15,bipolar disorder,EIF4EBP2P3,6:98117335,0.5639898629920013
705,rs1487445-<b>C</b>,1e-15,bipolar disorder,MIR2113,6:98117335,0.5639898629920013
703,rs13195402-<b>G</b>,6.0000000000000005e-15,bipolar disorder,BTN2A1,6:26463347,0.973255630985029
83,rs12154473-<b>A</b>,9.000000000000001e-15,bipolar i disorder,MAD1L1,7:1942546,0.4846093133385951
31,rs9834970-<b>C</b>,4e-14,bipolar i disorder,LINC02033,3:36814539,0.4982539610785887
31,rs9834970-<b>C</b>,4e-14,bipolar i disorder,HSPD1P6,3:36814539,0.4982539610785887
325,rs4481150-<b>T</b>,5e-14,bipolar disorder,ITIH3,3:52803777,0.5096970936610945
752,rs12241517-<b>?</b>,6e-14,bipolar disorder,UNKNOWN,Mapping not available,-1.0
693,rs113779084-<b>G</b>,1e-13,bipolar disorder,THSD7A,7:11832161,0.7300688194812069
722,rs174592-<b>A</b>,1e-13,bipolar disorder,FADS2,11:61851136,0.605993603664074
