"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs35546597-<b>?</b>,"2 x 10-8",(EA),NR,'-,'-,'-,"AURKB, BORCS6","Anxiety disorders","anxiety disorder, panic disorder",'-,GCST009838,17:8201734
rs10534613-<b>?</b>,"5 x 10-8",(EA),NR,'-,'-,'-,IQCE,"Anxiety disorders","anxiety disorder, panic disorder",'-,GCST009838,7:2592402
rs577242570-<b>G</b>,"5 x 10-8",,0.0039738,2.33,'-,'-,"LIN28AP1, CACYBPP2","Acute reaction to stress","acute stress reaction",'-,GCST90086142,2:183542373
rs144783209-<b>T</b>,"3 x 10-7",,NR,1.47,'-,NR,SMAD1,"Panic disorder","panic disorder",'-,GCST009525,4:145482377
rs79919349-<b>A</b>,"2 x 10-6",,NR,1.77,'-,NR,"RNU6-929P, PTMAP6","Panic disorder","panic disorder",'-,GCST009525,20:56707790
rs41280169-<b>T</b>,"3 x 10-6",,NR,1.4,'-,NR,PTBP3,"Panic disorder","panic disorder",'-,GCST009525,9:112220657
rs2554444-<b>T</b>,"3 x 10-6",,NR,1.2048193,'-,NR,SNHG14,"Panic disorder","panic disorder",'-,GCST009525,15:25012438
rs6914428-<b>G</b>,"5 x 10-6",,NR,1.1764705,'-,NR,DHFRP5,"Panic disorder","panic disorder",'-,GCST009525,6:62520835
rs3816995-<b>?</b>,"2 x 10-7",,0.03,'-,'-,'-,SDK2,"Panic disorder","panic disorder",'-,GCST000320,17:73339121
rs4702982-<b>?</b>,"6 x 10-6",,0.16,'-,'-,'-,"RN7SKP62, FAM174A","Panic disorder","panic disorder",'-,GCST000320,5:100655944
rs2103868-<b>?</b>,"5 x 10-6",,0.26,'-,'-,'-,TNFRSF21,"Panic disorder","panic disorder",'-,GCST000320,6:47262879
rs860554-<b>?</b>,"5 x 10-8",,0.05,'-,'-,'-,PKP1,"Panic disorder","panic disorder",'-,GCST000320,1:201293304
rs941184-<b>?</b>,"3 x 10-7",,0.03,'-,'-,'-,CALCOCO1,"Panic disorder","panic disorder",'-,GCST000320,12:53720374
rs9372078-<b>?</b>,"5 x 10-7",,0.11,'-,'-,'-,PLEKHG1,"Panic disorder","panic disorder",'-,GCST000320,6:150592825
rs12579350-<b>?</b>,"4 x 10-9",,0.01,'-,'-,'-,ANO2,"Panic disorder","panic disorder",'-,GCST000320,12:5687935
rs7299940-<b>?</b>,"7 x 10-6",,0.29,'-,'-,'-,"Y_RNA, RAN","Panic disorder","panic disorder",'-,GCST000320,12:130906209
rs17466684-<b>?</b>,"7 x 10-7",,0.09,'-,'-,'-,"GULOP, CLU","Panic disorder","panic disorder",'-,GCST000320,8:27595330
rs3749380-<b>?</b>,"2 x 10-6",,0.25,'-,'-,'-,GRM7,"Panic disorder","panic disorder",'-,GCST000320,3:6861610
rs2823455-<b>?</b>,"9 x 10-6",,0.03,'-,'-,'-,"USP25, RAD23BP3","Panic disorder","panic disorder",'-,GCST000320,21:15696847
rs9302001-<b>?</b>,"3 x 10-7",,0.20,'-,'-,'-,SOX21-AS1,"Panic disorder","panic disorder",'-,GCST000320,13:94811138
rs2731006-<b>?</b>,"4 x 10-6",,0.29,'-,'-,'-,LINC02450,"Panic disorder","panic disorder",'-,GCST000320,12:42767023
rs12061304-<b>?</b>,"1 x 10-6",,0.10,'-,'-,'-,"KCNA3, Y_RNA","Panic disorder","panic disorder",'-,GCST000320,1:110695063
rs4901869-<b>?</b>,"6 x 10-6",,0.02,'-,'-,'-,LINC01500,"Panic disorder","panic disorder",'-,GCST000320,14:58867410
rs16989303-<b>?</b>,"6 x 10-6",,0.21,'-,'-,'-,"LINC01433, SMOX","Panic disorder","panic disorder",'-,GCST000320,20:4188432
rs3810265-<b>?</b>,"4 x 10-6",,0.07,'-,'-,'-,"TSKS, CPT1C","Panic disorder","panic disorder",'-,GCST000320,19:49720009
rs7141336-<b>C</b>,"6 x 10-6","(AA, factor score analysis)",'-,'-,"0.19 unit increase",[NR],"LINC02321, TTC7B","Anxiety disorder","anxiety disorder",'-,GCST002696,14:90819884
rs17548918-<b>C</b>,"9 x 10-6","(AA, factor score analysis)",'-,'-,"0.26 unit increase",[NR],VENTXP7,"Anxiety disorder","anxiety disorder",'-,GCST002696,3:21338599
rs241257-<b>A</b>,"9 x 10-6","(AA, factor score analysis)",'-,'-,"0.17 unit increase",[NR],LINC01646,"Anxiety disorder","anxiety disorder",'-,GCST002696,1:4554762
rs12120353-<b>A</b>,"3 x 10-6","(AA, case-control analysis)",'-,2.13,'-,[NR],LINC01646,"Anxiety disorder","anxiety disorder",'-,GCST002696,1:4560936
rs10762651-<b>?</b>,"6 x 10-6","(AA, case-control analysis)",'-,1.85,'-,[NR],DUSP29,"Anxiety disorder","anxiety disorder",'-,GCST002696,10:75062359
rs17105932-<b>?</b>,"7 x 10-6","(AA, case-control analysis)",'-,2.22,'-,[NR],GUCY1A2,"Anxiety disorder","anxiety disorder",'-,GCST002696,11:106672739
rs6799682-<b>A</b>,"8 x 10-6","(AA, case-control analysis)",'-,1.79,'-,[NR],LINC00578,"Anxiety disorder","anxiety disorder",'-,GCST002696,3:177458728
rs4692589-<b>C</b>,"9 x 10-7","(EA, factor score analysis)",'-,'-,"0.067 unit decrease",[NR],MFAP3L,"Anxiety disorder","anxiety disorder",'-,GCST002696,4:170014094
rs10893268-<b>T</b>,"1 x 10-6","(EA, factor score analysis)",'-,'-,"0.069 unit decrease",[NR],OR8A1,"Anxiety disorder","anxiety disorder",'-,GCST002696,11:124568716
rs12153327-<b>C</b>,"2 x 10-6","(EA, factor score analysis)",'-,'-,"0.064 unit decrease",[NR],'-,"Anxiety disorder","anxiety disorder",'-,GCST002696,5:101365896
rs2170820-<b>C</b>,"5 x 10-6","(EA, factor score analysis)",'-,'-,"0.063 unit decrease",[NR],TMEM132D,"Anxiety disorder","anxiety disorder",'-,GCST002696,12:129538158
rs1551277-<b>A</b>,"7 x 10-6","(EA, factor score analysis)",'-,'-,"0.068 unit increase",[NR],PKD1L1,"Anxiety disorder","anxiety disorder",'-,GCST002696,7:47789719
rs12703441-<b>C</b>,"7 x 10-6","(EA, factor score analysis)",'-,'-,"0.062 unit decrease",[NR],MGAM2,"Anxiety disorder","anxiety disorder",'-,GCST002696,7:142192907
rs4736192-<b>A</b>,"9 x 10-6","(EA, factor score analysis)",'-,'-,"0.073 unit increase",[NR],COL22A1,"Anxiety disorder","anxiety disorder",'-,GCST002696,8:138967582
rs2115691-<b>?</b>,"4 x 10-6","(EA, case-control analysis)",'-,1.49,'-,[NR],"HNRNPA1P55, CXCL1","Anxiety disorder","anxiety disorder",'-,GCST002696,4:73877974
rs10959883-<b>C</b>,"3 x 10-11",(EA),0.09,'-,"0.15 unit decrease",[NR],'-,"Lifetime anxiety disorder","anxiety disorder",'-,GCST009575,9:11519984
rs1187280-<b>G</b>,"7 x 10-9",(EA),0.88,'-,"0.13 unit increase",[NR],NTRK2,"Lifetime anxiety disorder","anxiety disorder",'-,GCST009575,9:84801910
rs4855559-<b>T</b>,"4 x 10-8",(EA),0.21,'-,"0.12 unit decrease",[NR],MYH15,"Lifetime anxiety disorder","anxiety disorder",'-,GCST009575,3:108396189
rs2861139-<b>C</b>,"3 x 10-9",(EA),0.62,'-,"0.13 unit increase",[NR],LINC01938,"Lifetime anxiety disorder","anxiety disorder",'-,GCST009575,5:165166549
rs3807866-<b>A</b>,"5 x 10-8",(EA),0.48,'-,"0.12 unit increase",[NR],TMEM106B,"Lifetime anxiety disorder","anxiety disorder",'-,GCST009575,7:12210752
rs1709393-<b>C</b>,"2 x 10-8",,0.42,1.16,'-,[1.10-1.23],LINC02085,"Anxiety disorder","anxiety disorder",'-,GCST003370,3:101980310
rs7528604-<b>?</b>,"3 x 10-7",,NR,'-,'-,'-,PDE4B,"Anxiety disorders","anxiety disorder",'-,GCST008566,1:65941669
rs4806846-<b>A</b>,"8 x 10-6",,0.14,'-,'-,'-,TMPRSS9,Neuroticism,"neurotic disorder",'-,GCST001771,19:2410486
rs9491140-<b>?</b>,"3 x 10-7",,0.33,'-,"0.91 unit decrease",[0.56-1.26],NKAIN2,Neuroticism,"neurotic disorder",'-,GCST004569,6:124370091
