"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs7665833-<b>A</b>,"1 x 10-7",,0.14,2.03,'-,[1.78-2.28],"LINC02479, PGBD4P4","Treatment resistant depression","treatment resistant depression, response to antidepressant",'-,GCST007665,4:130459962
rs7735612-<b>C</b>,"6 x 10-7",,0.4,1.63,'-,[1.43-1.83],SLIT3,"Treatment resistant depression","treatment resistant depression, response to antidepressant",'-,GCST007665,5:169082727
rs2898168-<b>?</b>,"2 x 10-6",,0.68,1.6666665,'-,'-,"KRTAP13-1, KRTAP13-3","Treatment resistant depression","treatment resistant depression, response to antidepressant",'-,GCST007665,21:30410284
nsv831124-<b>?</b>,"3 x 10-6",,0.54,1.4285715,'-,'-,'-,"Treatment resistant depression","treatment resistant depression, response to antidepressant",'-,GCST007665,"Mapping not available"
rs4863995-<b>T</b>,"4 x 10-6",,0.22,1.67,'-,[1.45-1.89],"PGBD4P4, GAPDHP56","Treatment resistant depression","treatment resistant depression, response to antidepressant",'-,GCST007665,4:130496927
rs6852702-<b>A</b>,"4 x 10-6",,0.09,2.07,'-,[1.76-2.38],GAPDHP56,"Treatment resistant depression","treatment resistant depression, response to antidepressant",'-,GCST007665,4:130515632
rs12006913-<b>A</b>,"4 x 10-6",,0.12,2.13,'-,[1.82-2.44],PTCHD1,"Treatment resistant depression","treatment resistant depression, response to antidepressant",'-,GCST007665,X:23358454
nsv527355-<b>A</b>,"5 x 10-6",,0.47,1.44,'-,[1.28-1.6],'-,"Treatment resistant depression","treatment resistant depression, response to antidepressant",'-,GCST007665,"Mapping not available"
rs242999-<b>C</b>,"1 x 10-6",,0.39,1.85,'-,[1.44-2.37],LINC01643,"Treatment resistant depression","treatment resistant depression, response to antidepressant",'-,GCST007667,22:34109914
rs73837957-<b>A</b>,"2 x 10-6",,0.15,2.73,'-,[1.81-4.11],CCSER1,"Treatment resistant depression","treatment resistant depression, response to antidepressant",'-,GCST007667,4:91682958
rs9895559-<b>A</b>,"2 x 10-6",,0.45,1.85,'-,[1.43-2.38],"SLC13A5, RPL23AP73","Treatment resistant depression","treatment resistant depression, response to antidepressant",'-,GCST007667,17:6732054
rs80080484-<b>?</b>,"4 x 10-6",,0.97,5.882353,'-,[2.7-12.5],"LARP7P3, LINC01910","Treatment resistant depression","treatment resistant depression, response to antidepressant",'-,GCST007667,18:70403190
rs12745534-<b>?</b>,"5 x 10-6",,0.87,2.2222223,'-,[1.59-3.12],HIVEP3,"Treatment resistant depression","treatment resistant depression, response to antidepressant",'-,GCST007667,1:41890579
rs12564480-<b>?</b>,"9 x 10-7",,0.88,2.4390244,'-,[1.72-3.57],"WDR64, OPN3","Treatment resistant depression","treatment resistant depression, response to antidepressant",'-,GCST007667,1:241666284
rs1841915-<b>?</b>,"1 x 10-6",,0.61,1.8518518,'-,[1.45-2.33],"ZNF385D-AS1, ZNF385D","Treatment resistant depression","treatment resistant depression, response to antidepressant",'-,GCST007667,3:21573947
rs2715157-<b>?</b>,"3 x 10-8",,0.52,1.27,'-,[1.16-1.37],PCLO,"Major depressive disorder","unipolar depression",'-,GCST004486,7:82839058
"rs9486815-<b>G</b>, rs4245535-<b>G</b>, rs17069173-<b>A</b>, rs9374021-<b>G</b>, rs9374007-<b>A</b>, rs9386694-<b>A</b>, rs9374002-<b>G</b>, rs218289-<b>A</b>, rs1064346-<b>A</b>, rs9374013-<b>G</b>, rs6921166-<b>G</b>, rs12567-<b>A</b>, rs4332013-<b>A</b>, rs2001144-<b>A</b>, rs17069274-<b>A</b>, rs218294-<b>A</b>, rs6919324-<b>G</b>, rs4946900-<b>G</b>, rs7769514-<b>A</b>, rs2097525-<b>G</b>, rs9400180-<b>G</b>, rs7769535-<b>A</b>, rs9320250-<b>A</b>, rs9372177-<b>A</b>, rs2027876-<b>G</b>, rs17069204-<b>A</b>, rs12180499-<b>A</b>","3 x 10-7",,NR,1.26,'-,[1.16-1.37],"OSTM1; OSTM1-AS1; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes","Major depressive disorder","unipolar depression",'-,GCST005108,6:108126842
