,variant_and_allele,p_value,trait,gene,location,maf
24,rs7868992-<b>G</b>,3.0000000000000004e-08,tourette syndrome,COL27A1,9:114228791,0.30302165354330707
2,rs13407215-<b>T</b>,2e-07,tourette syndrome,UNKNOWN,2:160688380,0.024775013234515617
17,rs2504235-<b>A</b>,2e-07,tourette syndrome,FLT3,13:28038749,0.5343852013057672
8,rs1906252-<b>C</b>,3e-07,tourette syndrome,MIR2113,6:98102413,0.5510102020404081
8,rs1906252-<b>C</b>,3e-07,tourette syndrome,EIF4EBP2P3,6:98102413,0.5510102020404081
22,rs150975336-<b>G</b>,4e-07,tourette syndrome,MUC16,19:8995481,0.034992059290629964
22,rs150975336-<b>G</b>,4e-07,tourette syndrome,BOLA3P2,19:8995481,0.034992059290629964
6,rs4047771-<b>A</b>,4e-07,tourette syndrome,RNA5SP172,4:177549744,0.6985916984328674
13,rs191044310-<b>T</b>,6e-07,tourette syndrome,OTUD1,10:23416522,0.9892006352567496
13,rs191044310-<b>T</b>,6e-07,tourette syndrome,C10orf67,10:23416522,0.9892006352567496
11,rs117648881-<b>G</b>,6e-07,tourette syndrome,CSMD3,8:112569669,0.984783741532048
1,rs2708146-<b>A</b>,8e-07,tourette syndrome,LINC01122,2:58728818,0.5469108903093703
23,rs12459560-<b>T</b>,9e-07,tourette syndrome,ZNF577,19:51815127,0.1537217679383693
23,rs12459560-<b>T</b>,9e-07,tourette syndrome,FPR3,19:51815127,0.1537217679383693
15,rs10846381-<b>T</b>,1e-06,tourette syndrome,LMO3,12:16599165,0.3607843137254902
15,rs10846381-<b>T</b>,1e-06,tourette syndrome,MGST1,12:16599165,0.3607843137254902
16,rs1619561-<b>C</b>,2e-06,tourette syndrome,PITPNM2,12:123135721,0.6403091557669441
0,rs6670211-<b>C</b>,2e-06,tourette syndrome,PTPRU,1:29250272,0.4622750757170853
7,rs147208935-<b>T</b>,2e-06,tourette syndrome,TENM2,5:167853450,0.007252514557967178
5,rs73205493-<b>T</b>,2e-06,tourette syndrome,CFAP99,4:2458844,0.3416844104716533
10,rs117780640-<b>C</b>,3e-06,tourette syndrome,SNORD3H,8:97308702,0.9506359781950333
10,rs117780640-<b>C</b>,3e-06,tourette syndrome,TSPYL5,8:97308702,0.9506359781950333
3,rs1865896-<b>G</b>,3e-06,tourette syndrome,SGPP2,2:222469223,0.5444150344097406
4,rs6445765-<b>C</b>,3e-06,tourette syndrome,ERC2,3:56058870,0.6012705134992059
18,rs66489957-<b>T</b>,4e-06,tourette syndrome,TSHR,14:81133860,0.7647897362794013
12,rs72734943-<b>A</b>,4e-06,tourette syndrome,RNU6-1228P,9:75215240,0.01026998411858126
14,rs17137210-<b>C</b>,4.9999999999999996e-06,tourette syndrome,TENM4,11:78822066,0.03280114427091387
29,rs10990268-<b>C</b>,4.9999999999999996e-06,tourette syndrome,LINC00587,9:102740216,0.13759584212422168
28,rs5951698-<b>G</b>,6e-06,tourette syndrome,PHEX,X:22116540,0.030722139494306817
25,rs6539267-<b>T</b>,6e-06,tourette syndrome,POLR3B,12:106391776,0.7138977336579884
30,rs769111-<b>T</b>,6e-06,tourette syndrome,FZD9,7:12020180,0.6277094733849762
19,rs4886520-<b>C</b>,7e-06,tourette syndrome,INSYN1,15:73724281,0.5243268421685299
19,rs4886520-<b>C</b>,7e-06,tourette syndrome,CD276,15:73724281,0.5243268421685299
9,rs72673503-<b>A</b>,7e-06,tourette syndrome,UNKNOWN,8:92205896,0.07816467174464999
20,rs66904072-<b>G</b>,7e-06,tourette syndrome,EFL1,15:82133524,0.1367606915377616
27,rs9393366-<b>A</b>,8e-06,tourette syndrome,RNU6-1060P,6:23077083,0.27842123934533114
26,rs621942-<b>A</b>,9e-06,tourette syndrome,RNU6-560P,11:86072696,0.2439076059959676
26,rs621942-<b>A</b>,9e-06,tourette syndrome,PICALM,11:86072696,0.2439076059959676
21,rs74772983-<b>A</b>,9e-06,tourette syndrome,XYLT1,16:17399267,0.9299629433562732
