variant_and_allele,p_value,trait,gene,location,af
rs8034191-<b>T</b>,9.999999999999998e-71,nicotine dependence,HYKK,15:78513681,0.6720858160399973
rs1229984-<b>C</b>,9.999999999999999e-32,alcohol dependence,ADH1B,4:99318162,0.9422081787791364
rs1229984-<b>?</b>,2.999999999999999e-21,alcohol dependence,ADH1B,4:99318162,-1.0
rs2075633-<b>?</b>,5.0000000000000005e-21,alcohol dependence,ADH1B,4:99317841,-1.0
rs1051730-<b>T</b>,5.999999999999998e-20,nicotine dependence,CHRNA3,15:78601997,-1.0
rs34684276-<b>A</b>,4e-17,nicotine dependence,HYKK,15:78520813,0.26769965703086723
rs6011779-<b>T</b>,4e-16,nicotine dependence,CHRNA4,20:63352965,0.7610070958365392
rs56113850-<b>T</b>,4e-16,nicotine dependence,CYP2A6,19:40847202,0.44715852442671983
rs1451240-<b>?</b>,6.999999999999999e-16,nicotine dependence,CHRNB3,8:42691568,-1.0
rs56116178-<b>A</b>,2e-13,nicotine dependence,FAM163B,9:133595102,0.9267337215457916
rs11066001-<b>?</b>,7e-12,alcohol dependence,BRAP,12:111681367,-1.0
rs2377339-<b>G</b>,1.0000000000000001e-11,drug dependence,UNKNOWN,Mapping not available,0.06350068483445898
"rs4851870-<b>C</b>, rs12043259-<b>A</b>, rs6747023-<b>G</b>, rs7589342-<b>T</b>, rs2377339-<b>G</b>, rs7589561-<b>T</b>, rs1465641-<b>A</b>, rs1465639-<b>G</b>, rs2163349-<b>T</b>, rs12995849-<b>T</b>, rs12995333-<b>T</b>, rs6741172-<b>A</b>, rs2163350-<b>C</b>, rs4851095-<b>C</b>",2.0000000000000002e-11,drug dependence,NCK2; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes; No mapped genes,2:105820800,0.7493376216721688
rs2066702-<b>G</b>,4.0000000000000004e-11,alcohol dependence,ADH1B,4:99307860,0.99012069527937
rs1437396-<b>T</b>,1e-10,alcohol dependence,MTIF2,2:55278320,0.15548054011119936
rs1437396-<b>T</b>,1e-10,alcohol dependence,PRORSD1P,2:55278320,0.15548054011119936
rs9829896-<b>?</b>,4e-10,drug dependence,KAT2B,3:20135980,-1.0
rs2394476-<b>T</b>,1e-09,drug dependence,SLC25A16,10:68496075,0.9906187076697786
rs7445832-<b>A</b>,1e-09,alcohol and nicotine codependence,UNKNOWN,5:63290474,0.24748529132662744
rs7783012-<b>A</b>,2e-09,cannabis dependence,FOXP2,7:114476826,0.6125463208046585
rs1789882-<b>G</b>,2e-09,alcohol dependence,ADH1B,4:99313896,0.8281483635155341
rs1693457-<b>T</b>,2e-09,alcohol dependence,UNKNOWN,Mapping not available,0.8251142166084386
rs4950-<b>A</b>,2e-09,nicotine dependence,CHRNB3,8:42697490,0.7390946997033117
rs2366929-<b>?</b>,2e-09,opioid dependence,ADGRV1,5:90730817,-1.0
rs4732724-<b>C</b>,3.0000000000000004e-09,cannabis dependence,GULOP,8:27565545,0.1930357763112192
rs10799590-<b>G</b>,4e-09,opioid dependence,CNIH3,1:224634780,0.5489444742402605
