variant_and_allele,p_value,trait,gene,location
rs9834970-<b>T</b>,1e-21,bipolar i disorder,LINC02033,3:36814539
rs9834970-<b>T</b>,1e-21,bipolar i disorder,HSPD1P6,3:36814539
rs68188794-<b>T</b>,2e-21,bipolar disorder,UNKNOWN,Mapping not available
rs34706883-<b>?</b>,7e-20,bipolar disorder,H2BC15,6:27837477
rs34706883-<b>?</b>,7e-20,bipolar disorder,H4C12,6:27837477
rs144447022-<b>?</b>,7e-20,bipolar disorder,OR14J1,6:29276442
rs144447022-<b>?</b>,7e-20,bipolar disorder,OR2U2P,6:29276442
rs68188794-<b>?</b>,2e-19,bipolar disorder,UNKNOWN,Mapping not available
rs75782365-<b>?</b>,3.0000000000000002e-18,bipolar disorder,BTN3A1,6:26408323
rs4298967-<b>?</b>,5.0000000000000005e-17,bipolar disorder,UNKNOWN,Mapping not available
rs55834529-<b>?</b>,6e-17,bipolar disorder,UNKNOWN,Mapping not available
rs4298967-<b>A</b>,1e-16,bipolar disorder,UNKNOWN,Mapping not available
rs11062170-<b>G</b>,2e-16,bipolar i disorder,CACNA1C,12:2239678
rs9834970-<b>?</b>,3e-16,bipolar disorder,LINC02033,3:36814539
rs9834970-<b>?</b>,3e-16,bipolar disorder,HSPD1P6,3:36814539
rs1487445-<b>C</b>,1e-15,bipolar disorder,EIF4EBP2P3,6:98117335
rs1487445-<b>C</b>,1e-15,bipolar disorder,MIR2113,6:98117335
rs13195402-<b>G</b>,6.0000000000000005e-15,bipolar disorder,BTN2A1,6:26463347
rs12154473-<b>A</b>,9.000000000000001e-15,bipolar i disorder,MAD1L1,7:1942546
rs9834970-<b>C</b>,4e-14,bipolar i disorder,LINC02033,3:36814539
rs9834970-<b>C</b>,4e-14,bipolar i disorder,HSPD1P6,3:36814539
rs4481150-<b>T</b>,5e-14,bipolar disorder,ITIH3,3:52803777
rs12241517-<b>?</b>,6e-14,bipolar disorder,UNKNOWN,Mapping not available
rs113779084-<b>G</b>,1e-13,bipolar disorder,THSD7A,7:11832161
rs174592-<b>A</b>,1e-13,bipolar disorder,FADS2,11:61851136
rs2710323-<b>?</b>,3.0000000000000003e-13,bipolar disorder,UNKNOWN,Mapping not available
rs2336147-<b>T</b>,4e-13,bipolar disorder,PBRM1,3:52592427
rs11191582-<b>A</b>,9e-13,bipolar disorder,NT5C2,10:103153896
rs72799190-<b>?</b>,1e-12,bipolar disorder,LINC01470,5:152807563
rs12202969-<b>G</b>,1e-12,bipolar i disorder,EIF4EBP2P3,6:98128347
rs7098825-<b>?</b>,1e-12,bipolar disorder,U6,10:102868477
rs7098825-<b>?</b>,1e-12,bipolar disorder,BORCS7-ASMT,10:102868477
rs71395455-<b>A</b>,2e-12,bipolar disorder,UNKNOWN,Mapping not available
rs71395455-<b>?</b>,2e-12,bipolar disorder,UNKNOWN,Mapping not available
rs35050608-<b>?</b>,3e-12,bipolar disorder,UNKNOWN,Mapping not available
rs12906474-<b>?</b>,5e-12,bipolar disorder,UBE2Q2P1,15:84566006
rs4236274-<b>G</b>,8e-12,bipolar disorder,MAD1L1,7:1856777
rs10994415-<b>T</b>,1e-11,bipolar disorder,ANK3,10:60562276
rs12887734-<b>T</b>,2e-11,bipolar disorder,KLC1,14:103580497
rs12887734-<b>T</b>,2e-11,bipolar disorder,COA8,14:103580497
rs237475-<b>T</b>,2e-11,bipolar i disorder,KCNB1,20:49432969
rs2273738-<b>C</b>,2e-11,bipolar disorder,XPNPEP1,10:109888901
rs769950-<b>?</b>,3e-11,bipolar disorder,FTCDNL1,2:199865305
rs769950-<b>?</b>,3e-11,bipolar disorder,RN7SL717P,2:199865305
rs10866641-<b>T</b>,3e-11,bipolar disorder,DOCK2,5:169862202
rs10866641-<b>T</b>,3e-11,bipolar disorder,INSYN2B,5:169862202
rs9926049-<b>A</b>,3e-11,bipolar disorder,GRIN2A,16:9846103
rs62489493-<b>C</b>,3e-11,bipolar disorder,MIR124-1HG,8:9906071
rs78676616-<b>?</b>,4e-11,bipolar disorder,RN7SL480P,1:150171103
rs78676616-<b>?</b>,4e-11,bipolar disorder,PLEKHO1,1:150171103
rs67712855-<b>T</b>,4e-11,bipolar disorder,STK4,20:45053910
rs4702-<b>?</b>,4.9999999999999995e-11,bipolar disorder,FURIN,15:90883330
rs58120505-<b>?</b>,4.9999999999999995e-11,bipolar disorder,UNKNOWN,Mapping not available
rs4619651-<b>G</b>,4.9999999999999995e-11,bipolar disorder,CNNM4,2:96750416
rs4619651-<b>G</b>,4.9999999999999995e-11,bipolar disorder,LMAN2L,2:96750416
rs748455-<b>T</b>,4.9999999999999995e-11,bipolar disorder,ZSCAN2,15:84606344
rs12575685-<b>G</b>,4.9999999999999995e-11,bipolar i disorder,SHANK2,11:70671822
rs2439202-<b>?</b>,6e-11,bipolar disorder,UNKNOWN,2:193513924
rs2302417-<b>A</b>,6e-11,bipolar disorder,ITIH1,3:52780240
rs78308718-<b>T</b>,6.999999999999999e-11,bipolar i disorder,ADCY2,5:7533872
rs2302417-<b>T</b>,6.999999999999999e-11,bipolar disorder,ITIH1,3:52780240
rs10994415-<b>C</b>,6.999999999999999e-11,bipolar disorder,ANK3,10:60562276
rs80256351-<b>?</b>,9e-11,bipolar disorder,ACTG1P22,2:57844458
rs80256351-<b>?</b>,9e-11,bipolar disorder,VRK2,2:57844458
rs11647445-<b>T</b>,9e-11,bipolar disorder,GRIN2A,16:9833109
rs4380187-<b>A</b>,1e-10,bipolar disorder,UNKNOWN,Mapping not available
rs4906338-<b>?</b>,1e-10,bipolar disorder,UNKNOWN,Mapping not available
rs80012185-<b>?</b>,1e-10,bipolar disorder,UNKNOWN,Mapping not available
rs4702-<b>A</b>,1e-10,bipolar disorder,FURIN,15:90883330
rs11647445-<b>G</b>,1e-10,bipolar disorder,GRIN2A,16:9833109
rs174576-<b>A</b>,1e-10,bipolar disorder,FADS2,11:61836038
rs80256351-<b>A</b>,1e-10,bipolar disorder,ACTG1P22,2:57844458
rs80256351-<b>A</b>,1e-10,bipolar disorder,VRK2,2:57844458
rs72692857-<b>?</b>,1e-10,bipolar disorder,UNKNOWN,Mapping not available
rs11137399-<b>T</b>,1e-10,bipolar i disorder,TUBBP5,9:138174172
rs6993953-<b>C</b>,1e-10,bipolar i disorder,PLEC,8:143926153
rs722637-<b>?</b>,1e-10,bipolar disorder,PPP1R13B,14:103795386
rs489337-<b>A</b>,2e-10,bipolar i disorder,PACS1,11:66087090
rs2514218-<b>T</b>,2e-10,bipolar disorder,DRD2,11:113522272
rs61074241-<b>C</b>,2e-10,bipolar i disorder,ZNF592,15:84790165
rs2339519-<b>?</b>,2e-10,bipolar disorder,LINC01830,2:22381268
rs80195870-<b>?</b>,2e-10,bipolar disorder,GSDME,7:24734849
rs2949006-<b>?</b>,2e-10,bipolar disorder,UNKNOWN,Mapping not available
rs4380187-<b>?</b>,2e-10,bipolar disorder,UNKNOWN,Mapping not available
rs7191999-<b>?</b>,2e-10,bipolar disorder,UNKNOWN,Mapping not available
rs116052126-<b>A</b>,2e-10,bipolar disorder,GSDME,7:24735895
rs2271893-<b>G</b>,2e-10,bipolar disorder,LMAN2L,2:96739703
rs1367858-<b>T</b>,3e-10,bipolar disorder,SPATS2L,2:200296048
rs56361249-<b>?</b>,3e-10,bipolar disorder,LMAN2L,2:96714492
rs28455634-<b>G</b>,3e-10,bipolar disorder,C16orf72,16:9136959
rs28455634-<b>G</b>,3e-10,bipolar disorder,RPL21P119,16:9136959
rs228768-<b>G</b>,3e-10,bipolar disorder,HDAC5,17:44114525
rs7618915-<b>G</b>,3e-10,bipolar disorder,TWF2,3:52245578
rs72692857-<b>T</b>,4e-10,bipolar disorder,UNKNOWN,Mapping not available
rs10744560-<b>T</b>,4e-10,bipolar disorder,CACNA1C,12:2277933
rs10744560-<b>T</b>,4e-10,bipolar disorder,CACNA1C-IT3,12:2277933
rs4948418-<b>T</b>,4e-10,bipolar disorder,ANK3,10:60425736
rs1197546-<b>A</b>,4e-10,bipolar i disorder,STARD9,15:42610048
rs4619651-<b>A</b>,5e-10,bipolar disorder,CNNM4,2:96750416
rs4619651-<b>A</b>,5e-10,bipolar disorder,LMAN2L,2:96750416
rs111444407-<b>T</b>,5e-10,bipolar disorder,NCAN,19:19247398
