"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs147650109-<b>G</b>,"7 x 10-7",,0.026000000000000023,1.5724013,'-,[NR],ADGRE1,"Bipolar II disorder","bipolar II disorder",'-,GCST008116,19:6908884
rs72761817-<b>G</b>,"3 x 10-7",,0.025000000000000022,1.5387928,'-,[NR],OXCT1,"Bipolar II disorder","bipolar II disorder",'-,GCST008116,5:41654144
chr21_26773583_D-<b>?</b>,"9 x 10-8",,0.03400000000000003,1.5260652,'-,[NR],'-,"Bipolar II disorder","bipolar II disorder",'-,GCST008116,"Mapping not available"
rs111444407-<b>T</b>,"4 x 10-6",,0.144,1.18685,'-,[NR],NCAN,"Bipolar II disorder","bipolar II disorder",'-,GCST008116,19:19247398
rs79143696-<b>C</b>,"9 x 10-8",,0.0212,1.66496,'-,[NR],"KRTAP5-11, KRTAP5-10","Bipolar II disorder","bipolar II disorder",'-,GCST008116,11:71576909
rs7720655-<b>T</b>,"3 x 10-8",,0.865,0.85513,'-,[0.80-0.91],SLIT3,"Bipolar II disorder","bipolar II disorder",'-,GCST012463,5:169039564
rs960145-<b>A</b>,"2 x 10-7",,0.47,1.08166,'-,'-,RPS6KA2,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,6:166583503
rs181957530-<b>C</b>,"3 x 10-7",,0.016000000000000014,1.3703886,'-,[NR],FSTL5,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,4:161420812
rs6090435-<b>G</b>,"3 x 10-7",,0.497,1.0910003,'-,[NR],"EEF1A2, PPDPF","Bipolar I disorder","bipolar I disorder",'-,GCST008115,20:63501358
rs17395886-<b>C</b>,"3 x 10-7",,0.836,1.1139331,'-,[NR],FSTL5,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,4:161358233
rs6065777-<b>T</b>,"3 x 10-7",,0.697,1.08904,'-,'-,STK4,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,20:45041000
rs2388334-<b>G</b>,"3 x 10-7",,0.481,1.0800419,'-,[NR],"EIF4EBP2P3, HLA-DRB5","Bipolar I disorder","bipolar I disorder",'-,GCST008115,6:98143746
rs73222936-<b>A</b>,"3 x 10-7",,0.0441,1.25986,'-,'-,"MESTP3, LINC02364","Bipolar I disorder","bipolar I disorder",'-,GCST008115,4:28921093
chr2_181742430_D-<b>?</b>,"3 x 10-7",,0.05500000000000005,1.1793983,'-,[NR],'-,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,"Mapping not available"
rs12754946-<b>T</b>,"3 x 10-7",,0.575,1.0835,'-,'-,AK5,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,1:77524238
rs138321-<b>A</b>,"3 x 10-7",,0.502,1.08091,'-,'-,SLC25A17,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,22:40813300
rs73496688-<b>A</b>,"4 x 10-7",,0.144,1.11483,'-,'-,TENM4,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,11:79445704
rs60960031-<b>G</b>,"4 x 10-7",,0.5920000000000001,1.0815605,'-,[NR],NUTF2P8,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,2:21307787
rs4301023-<b>T</b>,"4 x 10-7",,0.474,1.0795,'-,'-,'-,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,"Mapping not available"
rs35755081-<b>A</b>,"4 x 10-7",,0.481,1.08643,'-,'-,"RNU4-74P, TMEM178B","Bipolar I disorder","bipolar I disorder",'-,GCST008115,7:141068359
rs56158970-<b>G</b>,"4 x 10-7",,0.014000000000000012,1.3937476,'-,[NR],LINC01392,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,7:115282097
rs546671-<b>A</b>,"4 x 10-7",,0.447,1.07929,'-,'-,LINC01748,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,1:60628168
rs1331621-<b>T</b>,"4 x 10-7",,0.351,1.08318,'-,'-,BRINP1,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,9:119412084
rs78014668-<b>C</b>,"5 x 10-7",,0.0818,1.15189,'-,'-,MAPK8IP1,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,11:45892443
rs78381888-<b>A</b>,"5 x 10-7",,0.815,1.12165,'-,'-,"ANKRD23, CNNM3","Bipolar I disorder","bipolar I disorder",'-,GCST008115,2:96835038
rs8047469-<b>G</b>,"5 x 10-7",,0.878,1.1792731,'-,[NR],PRSS36,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,16:31140200
rs10745843-<b>A</b>,"5 x 10-7",,0.621,1.08091,'-,'-,ANKS1B,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,12:99102252
rs11647445-<b>G</b>,"5 x 10-7",,0.346,1.0834001,'-,[NR],GRIN2A,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,16:9833109
rs7314975-<b>A</b>,"5 x 10-7",,0.427,1.08101,'-,'-,"DHH, RHEBL1","Bipolar I disorder","bipolar I disorder",'-,GCST008115,12:49083734
rs3026433-<b>G</b>,"6 x 10-7",,0.22499999999999998,1.0986717,'-,[NR],ATP2A2,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,12:110281387
rs55648125-<b>G</b>,"6 x 10-7",,0.10499999999999998,1.1280571,'-,[NR],'-,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,"Mapping not available"
rs9834970-<b>C</b>,"4 x 10-14",,0.491,1.1213151,'-,[NR],"LINC02033, HSPD1P6","Bipolar I disorder","bipolar I disorder",'-,GCST008115,3:36814539
rs111444407-<b>T</b>,"3 x 10-9",,0.147,1.13032,'-,'-,NCAN,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,19:19247398
rs10950456-<b>A</b>,"6 x 10-9",,0.572,1.0945,'-,'-,MAD1L1,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,7:1940114
chr5_7587236_D-<b>?</b>,"7 x 10-9",,0.17800000000000005,1.123444,'-,[NR],'-,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,"Mapping not available"
rs10744560-<b>T</b>,"8 x 10-9",,0.336,1.09483,'-,'-,"CACNA1C, CACNA1C-IT3","Bipolar I disorder","bipolar I disorder",'-,GCST008115,12:2277933
rs35958438-<b>G</b>,"1 x 10-8",,0.776,1.1116052,'-,[NR],LINC02694,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,15:38681592
rs10994318-<b>C</b>,"2 x 10-8",,0.0574,1.19339,'-,'-,ANK3,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,10:60366098
rs57957974-<b>A</b>,"2 x 10-8",,0.351,1.09582,'-,'-,PARP10,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,8:144002361
rs2305929-<b>G</b>,"2 x 10-8",,0.17600000000000005,1.1169441,'-,[NR],"BABAM2, MRPL33","Bipolar I disorder","bipolar I disorder",'-,GCST008115,2:27891044
rs489337-<b>G</b>,"2 x 10-8",,0.765,1.1068313,'-,[NR],PACS1,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,11:66087090
rs12226877-<b>A</b>,"3 x 10-8",,0.293,1.10429,'-,'-,"FADS1, FADS2","Bipolar I disorder","bipolar I disorder",'-,GCST008115,11:61824435
rs112968809-<b>A</b>,"3 x 10-8",,0.229,1.10362,'-,'-,"CDAN1, TTBK2","Bipolar I disorder","bipolar I disorder",'-,GCST008115,15:42738205
rs71395455-<b>A</b>,"4 x 10-8",,0.684,1.09461,'-,'-,'-,"Bipolar I disorder","bipolar I disorder",'-,GCST008115,"Mapping not available"
