,variant_and_allele,p_value,trait,gene
72,rs9834970-<b>T</b>,1e-21,bipolar I disorder,LINC02033
72,rs9834970-<b>T</b>,1e-21,bipolar I disorder,HSPD1P6
96,rs11062170-<b>G</b>,2e-16,bipolar I disorder,CACNA1C
83,rs12154473-<b>A</b>,9.000000000000001e-15,bipolar I disorder,MAD1L1
31,rs9834970-<b>C</b>,4e-14,bipolar I disorder,LINC02033
31,rs9834970-<b>C</b>,4e-14,bipolar I disorder,HSPD1P6
81,rs12202969-<b>G</b>,1e-12,bipolar I disorder,EIF4EBP2P3
84,rs113779084-<b>G</b>,2e-11,bipolar I disorder,THSD7A
110,rs237475-<b>T</b>,2e-11,bipolar I disorder,KCNB1
95,rs12575685-<b>G</b>,4.9999999999999995e-11,bipolar I disorder,SHANK2
92,rs174592-<b>A</b>,6.999999999999999e-11,bipolar I disorder,FADS2
76,rs78308718-<b>T</b>,6.999999999999999e-11,bipolar I disorder,ADCY2
88,rs11137399-<b>T</b>,1e-10,bipolar I disorder,TUBBP5
87,rs6993953-<b>C</b>,1e-10,bipolar I disorder,PLEC
93,rs489337-<b>A</b>,2e-10,bipolar I disorder,PACS1
103,rs61074241-<b>C</b>,2e-10,bipolar I disorder,ZNF592
101,rs1197546-<b>A</b>,4e-10,bipolar I disorder,STARD9
91,rs2273738-<b>C</b>,5e-10,bipolar I disorder,XPNPEP1
67,rs10917509-<b>T</b>,8e-10,bipolar I disorder,HTR6
108,rs6073621-<b>A</b>,1e-09,bipolar I disorder,STK4
80,rs55706012-<b>A</b>,1e-09,bipolar I disorder,H2BC9
80,rs55706012-<b>A</b>,1e-09,bipolar I disorder,H3C8
100,rs6495988-<b>C</b>,1e-09,bipolar I disorder,LINC02694
78,rs10043984-<b>C</b>,1e-09,bipolar I disorder,KDM3B
73,rs7614498-<b>A</b>,2e-09,bipolar I disorder,PBRM1
74,rs9831123-<b>C</b>,2e-09,bipolar I disorder,CADM2
105,rs228768-<b>G</b>,2e-09,bipolar I disorder,HDAC5
82,rs10455979-<b>C</b>,2e-09,bipolar I disorder,RPS6KA2
75,rs112481526-<b>A</b>,2e-09,bipolar I disorder,KIAA1109
90,rs61846516-<b>C</b>,3.0000000000000004e-09,bipolar I disorder,ANK3
32,rs111444407-<b>T</b>,3.0000000000000004e-09,bipolar I disorder,NCAN
107,rs112219496-<b>G</b>,5e-09,bipolar I disorder,NCAN
94,rs7122539-<b>G</b>,5e-09,bipolar I disorder,PC
69,rs2314398-<b>C</b>,5e-09,bipolar I disorder,CNNM4
69,rs2314398-<b>C</b>,5e-09,bipolar I disorder,LMAN2L
33,rs10950456-<b>A</b>,6.000000000000001e-09,bipolar I disorder,MAD1L1
77,rs11744542-<b>G</b>,7.000000000000001e-09,bipolar I disorder,Y_RNA
34,chr5_7587236_D-<b>?</b>,7.000000000000001e-09,bipolar I disorder,UNKNOWN
35,rs10744560-<b>T</b>,8e-09,bipolar I disorder,CACNA1C
35,rs10744560-<b>T</b>,8e-09,bipolar I disorder,CACNA1C-IT3
85,rs4722033-<b>G</b>,1e-08,bipolar I disorder,SP4
36,rs35958438-<b>G</b>,1e-08,bipolar I disorder,LINC02694
79,rs6875495-<b>C</b>,1e-08,bipolar I disorder,VTRNA1-3
79,rs6875495-<b>C</b>,1e-08,bipolar I disorder,PCDHA1
71,rs735931-<b>A</b>,1e-08,bipolar I disorder,ATP2B2
39,rs2305929-<b>G</b>,2e-08,bipolar I disorder,BABAM2
39,rs2305929-<b>G</b>,2e-08,bipolar I disorder,MRPL33
40,rs489337-<b>G</b>,2e-08,bipolar I disorder,PACS1
98,rs3803277-<b>C</b>,2e-08,bipolar I disorder,ALOX5AP
102,rs28379895-<b>T</b>,2e-08,bipolar I disorder,INSYN1-AS1
102,rs28379895-<b>T</b>,2e-08,bipolar I disorder,TBC1D21
106,rs7248205-<b>C</b>,2e-08,bipolar I disorder,ILF3
109,rs6032110-<b>A</b>,2e-08,bipolar I disorder,RBPJL
37,rs10994318-<b>C</b>,2e-08,bipolar I disorder,ANK3
38,rs57957974-<b>A</b>,2e-08,bipolar I disorder,PARP10
68,rs1510606-<b>G</b>,3.0000000000000004e-08,bipolar I disorder,NUTF2P8
70,rs4676412-<b>G</b>,3.0000000000000004e-08,bipolar I disorder,GPR35
70,rs4676412-<b>G</b>,3.0000000000000004e-08,bipolar I disorder,CAPN10
42,rs112968809-<b>A</b>,3.0000000000000004e-08,bipolar I disorder,CDAN1
