,variant_and_allele,p_value,trait,gene
5,rs7445832-<b>A</b>,1e-09,alcohol and nicotine codependence,UNKNOWN
7,rs9636470-<b>?</b>,3.0000000000000004e-08,alcohol and nicotine codependence,RGPD2
8,rs1318937-<b>?</b>,4e-07,alcohol and nicotine codependence,CAPN7
8,rs1318937-<b>?</b>,4e-07,alcohol and nicotine codependence,SH3BP5-AS1
4,rs10042968-<b>G</b>,8e-07,alcohol and nicotine codependence,UNKNOWN
10,rs17427389-<b>?</b>,1e-06,alcohol and nicotine codependence,PLEKHG1
9,rs1570989-<b>?</b>,2e-06,alcohol and nicotine codependence,HIVEP1
11,rs1426153-<b>?</b>,2e-06,alcohol and nicotine codependence,PKNOX2
12,rs728115-<b>?</b>,4e-06,alcohol and nicotine codependence,KCND2
6,rs528301-<b>?</b>,4.9999999999999996e-06,alcohol and nicotine codependence,LINC01833
13,rs6028335-<b>?</b>,4.9999999999999996e-06,alcohol and nicotine codependence,LINC01734
