,variant_and_allele,p_value,trait,gene,location
2214,rs3130820-<b>?</b>,2e-44,schizophrenia,OR2U1P,6:29238906
2214,rs3130820-<b>?</b>,2e-44,schizophrenia,OR2G1P,6:29238906
58,rs115329265-<b>A</b>,4.9999999999999994e-36,schizophrenia,NOP56P1,6:28744470
58,rs115329265-<b>A</b>,4.9999999999999994e-36,schizophrenia,RPSAP2,6:28744470
410,rs9257566-<b>?</b>,7e-30,schizophrenia,OR2J2,6:29176755
410,rs9257566-<b>?</b>,7e-30,schizophrenia,OR2J4P,6:29176755
2329,rs150817755-<b>T</b>,1e-29,schizophrenia,OR2U1P,6:29238906
2329,rs150817755-<b>T</b>,1e-29,schizophrenia,OR2G1P,6:29238906
1256,rs13217619-<b>T</b>,2e-29,schizophrenia,ZSCAN31,6:28338894
619,rs33932084-<b>A</b>,2.9999999999999997e-29,schizophrenia,PGBD1,6:28301047
1334,rs144447022-<b>G</b>,2e-28,schizophrenia,OR14J1,6:29276442
1334,rs144447022-<b>G</b>,2e-28,schizophrenia,OR2U2P,6:29276442
2560,rs33932084-<b>?</b>,3e-28,schizophrenia,PGBD1,6:28301047
2048,rs144447022-<b>?</b>,9e-28,schizophrenia,OR14J1,6:29276442
2048,rs144447022-<b>?</b>,9e-28,schizophrenia,OR2U2P,6:29276442
1995,rs115329265-<b>?</b>,1e-27,schizophrenia,NOP56P1,6:28744470
1995,rs115329265-<b>?</b>,1e-27,schizophrenia,RPSAP2,6:28744470
2557,rs75782365-<b>?</b>,2e-27,schizophrenia,BTN3A1,6:26408323
1638,rs34706883-<b>A</b>,5e-27,schizophrenia,H2BC15,6:27837477
1638,rs34706883-<b>A</b>,5e-27,schizophrenia,H4C12,6:27837477
1666,rs41266839-<b>G</b>,7e-27,schizophrenia,BTN3A1,6:26409662
1416,rs55834529-<b>A</b>,9e-27,schizophrenia,UNKNOWN,Mapping not available
2045,rs34706883-<b>?</b>,2e-26,schizophrenia,H2BC15,6:27837477
2045,rs34706883-<b>?</b>,2e-26,schizophrenia,H4C12,6:27837477
2330,rs116757206-<b>G</b>,1e-25,schizophrenia,OR2AD1P,6:29015497
2330,rs116757206-<b>G</b>,1e-25,schizophrenia,ZNF311,6:29015497
331,rs75970938-<b>?</b>,2e-25,schizophrenia,CNNM2,10:103033891
2331,rs114071887-<b>G</b>,7e-25,schizophrenia,OR5V1,6:29374998
2331,rs114071887-<b>G</b>,7e-25,schizophrenia,OR12D3,6:29374998
356,rs1716180-<b>?</b>,2e-23,schizophrenia,MPHOSPH9,12:123197534
2332,rs17720293-<b>C</b>,3e-23,schizophrenia,ZKSCAN4,6:28246920
2223,rs182812355-<b>A</b>,7e-23,schizophrenia,TRIM27,6:28913267
1993,rs7746199-<b>?</b>,7e-23,schizophrenia,POM121L2,6:27293545
2224,rs9467711-<b>A</b>,2e-22,schizophrenia,BTN3A2,6:26332377
2224,rs9467711-<b>A</b>,2e-22,schizophrenia,H3C9P,6:26332377
2225,rs115123779-<b>G</b>,4e-22,schizophrenia,LINC02829,6:29510044
1990,rs34661691-<b>?</b>,6e-22,schizophrenia,H2BC6,6:26173250
447,rs7596038-<b>?</b>,7e-22,schizophrenia,VRK2,2:58156685
2226,rs116408368-<b>T</b>,1e-21,schizophrenia,TRIM26,6:30202733
2227,rs401754-<b>T</b>,2e-21,schizophrenia,H2AC14,6:27814760
2228,rs16894116-<b>G</b>,2.9999999999999995e-21,schizophrenia,COX11P1,6:28447190
255,rs7766356-<b>?</b>,2.9999999999999995e-21,schizophrenia,ZSCAN23,6:28432761
1254,rs13198474-<b>G</b>,2.9999999999999997e-20,schizophrenia,SLC17A3,6:25874195
2229,rs115031589-<b>G</b>,2.9999999999999997e-20,schizophrenia,ZBED9,6:28594812
2230,rs115123027-<b>T</b>,4e-20,schizophrenia,SFTA2,6:30939558
2230,rs115123027-<b>T</b>,4e-20,schizophrenia,MUCL3,6:30939558
69,rs11191424-<b>G</b>,4e-20,schizophrenia,BORCS7-ASMT,10:102866129
2231,rs142536810-<b>C</b>,5e-20,schizophrenia,HSPA1A,6:31819390
2231,rs142536810-<b>C</b>,5e-20,schizophrenia,HSPA1B,6:31819390
2215,rs2007044-<b>?</b>,5.999999999999999e-20,schizophrenia,CACNA1C,12:2235794
2232,rs116509918-<b>G</b>,5.999999999999999e-20,schizophrenia,HLA-B,6:31345252
2232,rs116509918-<b>G</b>,5.999999999999999e-20,schizophrenia,LINC02571,6:31345252
1778,rs2596500-<b>A</b>,8e-20,schizophrenia,HLA-B,6:31353490
1778,rs2596500-<b>A</b>,8e-20,schizophrenia,LINC02571,6:31353490
2233,rs34104395-<b>C</b>,8.999999999999999e-20,schizophrenia,BTN1A1P1,6:26478024
346,rs2159100-<b>?</b>,1e-19,schizophrenia,CACNA1C,12:2237227
1207,rs114200269-<b>T</b>,2e-19,schizophrenia,MICC,6:30368886
1207,rs114200269-<b>T</b>,2e-19,schizophrenia,UBQLN1P1,6:30368886
2524,rs4298967-<b>?</b>,2e-19,schizophrenia,UNKNOWN,Mapping not available
1009,rs1702294-<b>C</b>,3e-19,schizophrenia,UNKNOWN,Mapping not available
2234,rs116396069-<b>C</b>,3e-19,schizophrenia,LINC00243,6:30830920
2234,rs116396069-<b>C</b>,3e-19,schizophrenia,LINC02570,6:30830920
54,rs2159100-<b>T</b>,3e-19,schizophrenia,CACNA1C,12:2237227
2235,rs77296290-<b>C</b>,4e-19,schizophrenia,HLA-DQB1,6:32667519
1309,rs9274623-<b>G</b>,6e-19,schizophrenia,HLA-DQB1,6:32668221
1036,rs11191419-<b>T</b>,6e-19,schizophrenia,BORCS7,10:102852578
1036,rs11191419-<b>T</b>,6e-19,schizophrenia,PTGES3P4,10:102852578
1300,rs67682613-<b>G</b>,6.999999999999999e-19,schizophrenia,NEU1,6:31858928
2236,rs149979052-<b>C</b>,6.999999999999999e-19,schizophrenia,PSORS1C1,6:31137370
405,rs7476192-<b>?</b>,9e-19,schizophrenia,AS3MT,10:102889618
405,rs7476192-<b>?</b>,9e-19,schizophrenia,BORCS7-ASMT,10:102889618
659,rs4298967-<b>A</b>,1e-18,schizophrenia,UNKNOWN,Mapping not available
418,rs58120505-<b>?</b>,1e-18,schizophrenia,UNKNOWN,Mapping not available
2216,rs10650434-<b>?</b>,1e-18,schizophrenia,MAD1L1,7:1985462
2514,rs7085104-<b>?</b>,2e-18,schizophrenia,UNKNOWN,Mapping not available
2238,rs35741362-<b>T</b>,2e-18,schizophrenia,LINC00240,6:27039908
256,rs12244388-<b>?</b>,2e-18,schizophrenia,AS3MT,10:102880295
256,rs12244388-<b>?</b>,2e-18,schizophrenia,BORCS7-ASMT,10:102880295
2237,rs115406947-<b>G</b>,2e-18,schizophrenia,HLA-DRB9,6:32464869
2217,rs2660304-<b>?</b>,2e-18,schizophrenia,MIR137HG,1:98046571
501,rs2949006-<b>?</b>,3.0000000000000002e-18,schizophrenia,UNKNOWN,Mapping not available
1045,rs2007044-<b>G</b>,3.0000000000000002e-18,schizophrenia,CACNA1C,12:2235794
521,rs66691851-<b>?</b>,4e-18,schizophrenia,STAG1,3:136435986
938,rs1024582-<b>A</b>,6.0000000000000004e-18,schizophrenia,CACNA1C,12:2293080
68,rs1615350-<b>C</b>,6.0000000000000004e-18,schizophrenia,MPHOSPH9,12:123165788
2218,rs12416331-<b>?</b>,7e-18,schizophrenia,NT5C2,10:103169157
2219,rs58033671-<b>?</b>,9.000000000000001e-18,schizophrenia,TSNARE1,8:142238758
502,rs17592552-<b>?</b>,1e-17,schizophrenia,SPATS2L,2:200311348
1779,rs2660304-<b>T</b>,1e-17,schizophrenia,MIR137HG,1:98046571
939,rs7085104-<b>A</b>,1e-17,schizophrenia,UNKNOWN,Mapping not available
258,rs1702294-<b>?</b>,1e-17,schizophrenia,UNKNOWN,Mapping not available
2241,rs115344853-<b>A</b>,2e-17,schizophrenia,NOTCH4,6:32197667
2240,rs144373461-<b>C</b>,2e-17,schizophrenia,HLA-V,6:29783228
2240,rs144373461-<b>C</b>,2e-17,schizophrenia,IFITM4P,6:29783228
638,rs11191582-<b>A</b>,3e-17,schizophrenia,NT5C2,10:103153896
71,rs12668848-<b>G</b>,4e-17,schizophrenia,MAD1L1,7:1981360
60,rs10786736-<b>G</b>,4e-17,schizophrenia,CNNM2,10:103089359
60,rs10786736-<b>G</b>,4e-17,schizophrenia,NT5C2,10:103089359
1276,rs187696124-<b>T</b>,7e-17,schizophrenia,HLA-DRB9,6:32469754
2221,rs6065094-<b>?</b>,8e-17,schizophrenia,UNKNOWN,Mapping not available
457,rs848293-<b>?</b>,9.000000000000001e-17,schizophrenia,VRK2,2:58155355
1849,rs2523722-<b>G</b>,1e-16,schizophrenia,TRIM26,6:30197496
2222,rs13107325-<b>?</b>,1e-16,schizophrenia,SLC39A8,4:102267552
436,rs1198588-<b>?</b>,1e-16,schizophrenia,NFU1P2,1:98087276
66,rs796364-<b>C</b>,2e-16,schizophrenia,RN7SL717P,2:199851396
66,rs796364-<b>C</b>,2e-16,schizophrenia,FTCDNL1,2:199851396
1752,rs10883832-<b>T</b>,2e-16,schizophrenia,NT5C2,10:103111522
2242,rs138488080-<b>G</b>,3e-16,schizophrenia,SUMO2P1,6:29638984
2242,rs138488080-<b>G</b>,3e-16,schizophrenia,MOG,6:29638984
1469,rs73396800-<b>G</b>,4e-16,schizophrenia,HLA-DMA,6:32946949
1469,rs73396800-<b>G</b>,4e-16,schizophrenia,HLA-DMB,6:32946949
2115,rs4144797-<b>?</b>,4e-16,schizophrenia,GIGYF2,2:232697487
2243,rs114618162-<b>G</b>,6e-16,schizophrenia,LINC01149,6:31446032
2141,rs2851447-<b>?</b>,6e-16,schizophrenia,MPHOSPH9,12:123180566
2244,rs114261345-<b>A</b>,9e-16,schizophrenia,FLOT1,6:30730764
432,rs11210892-<b>?</b>,1e-15,schizophrenia,PTPRF,1:43634413
432,rs11210892-<b>?</b>,1e-15,schizophrenia,KDM4A,1:43634413
470,rs4147157-<b>?</b>,1e-15,schizophrenia,WBP1L,10:102776603
455,rs4666990-<b>?</b>,2e-15,schizophrenia,ZNF804A,2:184798577
374,rs4702-<b>?</b>,2e-15,schizophrenia,FURIN,15:90883330
2117,rs12293670-<b>?</b>,2e-15,schizophrenia,UNKNOWN,Mapping not available
2246,rs56275179-<b>G</b>,2e-15,schizophrenia,HFE,6:26089112
1033,rs4129585-<b>A</b>,2e-15,schizophrenia,UNKNOWN,Mapping not available
2245,rs115687605-<b>C</b>,2e-15,schizophrenia,UBQLN1P1,6:30397852
2245,rs115687605-<b>C</b>,2e-15,schizophrenia,MICC,6:30397852
2461,rs1801133-<b>A</b>,4e-15,schizophrenia,MTHFR,1:11796321
1255,rs13217239-<b>T</b>,4e-15,schizophrenia,POM121L2,6:27287188
1454,rs62392365-<b>A</b>,4e-15,schizophrenia,CMAHP,6:25371141
1454,rs62392365-<b>A</b>,4e-15,schizophrenia,CARMIL1,6:25371141
77,rs66691851-<b>C</b>,4e-15,schizophrenia,STAG1,3:136435986
430,rs7785663-<b>?</b>,4e-15,schizophrenia,DGKI,7:137385552
404,rs3929747-<b>?</b>,5.000000000000001e-15,schizophrenia,C10orf95-AS1,10:102454510
524,rs4855019-<b>?</b>,6.0000000000000005e-15,schizophrenia,SOX2-OT,3:181120856
1007,rs35518360-<b>T</b>,8e-15,schizophrenia,BANK1,4:102225733
1007,rs35518360-<b>T</b>,8e-15,schizophrenia,SLC39A8,4:102225733
2143,rs12129573-<b>?</b>,9.000000000000001e-15,schizophrenia,RN7SKP19,1:73302683
2143,rs12129573-<b>?</b>,9.000000000000001e-15,schizophrenia,LINC01360,1:73302683
2247,rs144959664-<b>G</b>,1e-14,schizophrenia,ABCF1,6:30598076
2247,rs144959664-<b>G</b>,1e-14,schizophrenia,PPP1R10,6:30598076
1088,rs4391122-<b>G</b>,1e-14,schizophrenia,LINC02057,5:61302716
1397,rs2102949-<b>G</b>,2e-14,schizophrenia,MPHOSPH9,12:123192216
1051,rs2851447-<b>G</b>,2e-14,schizophrenia,MPHOSPH9,12:123180566
1610,rs281768-<b>A</b>,2e-14,schizophrenia,MAIP1,2:199960517
2119,rs6002655-<b>?</b>,2e-14,schizophrenia,TCF20,22:42207808
396,rs13262595-<b>?</b>,3e-14,schizophrenia,TSNARE1,8:142235609
2146,rs10083370-<b>?</b>,3e-14,schizophrenia,LINC00637,14:103847845
2145,rs4766428-<b>?</b>,3e-14,schizophrenia,ATP2A2,12:110285440
2091,rs79780963-<b>?</b>,3e-14,schizophrenia,NT5C2,10:103192742
259,rs11693528-<b>?</b>,3e-14,schizophrenia,FTCDNL1,2:199871784
259,rs11693528-<b>?</b>,3e-14,schizophrenia,RN7SL717P,2:199871784
516,rs2577831-<b>?</b>,3e-14,schizophrenia,PBRM1,3:52594040
429,rs214475-<b>?</b>,4e-14,schizophrenia,IMMP2L,7:111227479
2122,rs12704290-<b>?</b>,4e-14,schizophrenia,GRM3-AS1,7:86798310
2122,rs12704290-<b>?</b>,4e-14,schizophrenia,GRM3,7:86798310
400,rs1926026-<b>?</b>,4e-14,schizophrenia,CACNB2,10:18436730
