variant_and_allele,p_value,trait,gene,location
rs3130820-<b>?</b>,2e-44,schizophrenia,OR2U1P,6:29238906
rs3130820-<b>?</b>,2e-44,schizophrenia,OR2G1P,6:29238906
rs115329265-<b>A</b>,4.9999999999999994e-36,schizophrenia,NOP56P1,6:28744470
rs115329265-<b>A</b>,4.9999999999999994e-36,schizophrenia,RPSAP2,6:28744470
rs9257566-<b>?</b>,7e-30,schizophrenia,OR2J2,6:29176755
rs9257566-<b>?</b>,7e-30,schizophrenia,OR2J4P,6:29176755
rs150817755-<b>T</b>,1e-29,schizophrenia,OR2U1P,6:29238906
rs150817755-<b>T</b>,1e-29,schizophrenia,OR2G1P,6:29238906
rs13217619-<b>T</b>,2e-29,schizophrenia,ZSCAN31,6:28338894
rs33932084-<b>A</b>,2.9999999999999997e-29,schizophrenia,PGBD1,6:28301047
rs144447022-<b>G</b>,2e-28,schizophrenia,OR14J1,6:29276442
rs144447022-<b>G</b>,2e-28,schizophrenia,OR2U2P,6:29276442
rs33932084-<b>?</b>,3e-28,schizophrenia,PGBD1,6:28301047
rs144447022-<b>?</b>,9e-28,schizophrenia,OR14J1,6:29276442
rs144447022-<b>?</b>,9e-28,schizophrenia,OR2U2P,6:29276442
rs115329265-<b>?</b>,1e-27,schizophrenia,NOP56P1,6:28744470
rs115329265-<b>?</b>,1e-27,schizophrenia,RPSAP2,6:28744470
rs75782365-<b>?</b>,2e-27,schizophrenia,BTN3A1,6:26408323
rs34706883-<b>A</b>,5e-27,schizophrenia,H2BC15,6:27837477
rs34706883-<b>A</b>,5e-27,schizophrenia,H4C12,6:27837477
rs41266839-<b>G</b>,7e-27,schizophrenia,BTN3A1,6:26409662
rs55834529-<b>A</b>,9e-27,schizophrenia,UNKNOWN,Mapping not available
rs34706883-<b>?</b>,2e-26,schizophrenia,H2BC15,6:27837477
rs34706883-<b>?</b>,2e-26,schizophrenia,H4C12,6:27837477
rs116757206-<b>G</b>,1e-25,schizophrenia,OR2AD1P,6:29015497
rs116757206-<b>G</b>,1e-25,schizophrenia,ZNF311,6:29015497
rs75970938-<b>?</b>,2e-25,schizophrenia,CNNM2,10:103033891
rs114071887-<b>G</b>,7e-25,schizophrenia,OR5V1,6:29374998
rs114071887-<b>G</b>,7e-25,schizophrenia,OR12D3,6:29374998
rs1716180-<b>?</b>,2e-23,schizophrenia,MPHOSPH9,12:123197534
rs17720293-<b>C</b>,3e-23,schizophrenia,ZKSCAN4,6:28246920
rs182812355-<b>A</b>,7e-23,schizophrenia,TRIM27,6:28913267
rs7746199-<b>?</b>,7e-23,schizophrenia,POM121L2,6:27293545
rs9467711-<b>A</b>,2e-22,schizophrenia,BTN3A2,6:26332377
rs9467711-<b>A</b>,2e-22,schizophrenia,H3C9P,6:26332377
rs115123779-<b>G</b>,4e-22,schizophrenia,LINC02829,6:29510044
rs34661691-<b>?</b>,6e-22,schizophrenia,H2BC6,6:26173250
rs7596038-<b>?</b>,7e-22,schizophrenia,VRK2,2:58156685
rs116408368-<b>T</b>,1e-21,schizophrenia,TRIM26,6:30202733
rs401754-<b>T</b>,2e-21,schizophrenia,H2AC14,6:27814760
rs16894116-<b>G</b>,2.9999999999999995e-21,schizophrenia,COX11P1,6:28447190
rs7766356-<b>?</b>,2.9999999999999995e-21,schizophrenia,ZSCAN23,6:28432761
rs13198474-<b>G</b>,2.9999999999999997e-20,schizophrenia,SLC17A3,6:25874195
rs115031589-<b>G</b>,2.9999999999999997e-20,schizophrenia,ZBED9,6:28594812
rs115123027-<b>T</b>,4e-20,schizophrenia,SFTA2,6:30939558
rs115123027-<b>T</b>,4e-20,schizophrenia,MUCL3,6:30939558
rs11191424-<b>G</b>,4e-20,schizophrenia,BORCS7-ASMT,10:102866129
rs142536810-<b>C</b>,5e-20,schizophrenia,HSPA1A,6:31819390
rs142536810-<b>C</b>,5e-20,schizophrenia,HSPA1B,6:31819390
rs2007044-<b>?</b>,5.999999999999999e-20,schizophrenia,CACNA1C,12:2235794
rs116509918-<b>G</b>,5.999999999999999e-20,schizophrenia,HLA-B,6:31345252
rs116509918-<b>G</b>,5.999999999999999e-20,schizophrenia,LINC02571,6:31345252
rs2596500-<b>A</b>,8e-20,schizophrenia,HLA-B,6:31353490
rs2596500-<b>A</b>,8e-20,schizophrenia,LINC02571,6:31353490
rs34104395-<b>C</b>,8.999999999999999e-20,schizophrenia,BTN1A1P1,6:26478024
rs2159100-<b>?</b>,1e-19,schizophrenia,CACNA1C,12:2237227
rs114200269-<b>T</b>,2e-19,schizophrenia,MICC,6:30368886
rs114200269-<b>T</b>,2e-19,schizophrenia,UBQLN1P1,6:30368886
rs4298967-<b>?</b>,2e-19,schizophrenia,UNKNOWN,Mapping not available
rs1702294-<b>C</b>,3e-19,schizophrenia,UNKNOWN,Mapping not available
rs116396069-<b>C</b>,3e-19,schizophrenia,LINC00243,6:30830920
rs116396069-<b>C</b>,3e-19,schizophrenia,LINC02570,6:30830920
rs2159100-<b>T</b>,3e-19,schizophrenia,CACNA1C,12:2237227
rs77296290-<b>C</b>,4e-19,schizophrenia,HLA-DQB1,6:32667519
rs9274623-<b>G</b>,6e-19,schizophrenia,HLA-DQB1,6:32668221
rs11191419-<b>T</b>,6e-19,schizophrenia,BORCS7,10:102852578
rs11191419-<b>T</b>,6e-19,schizophrenia,PTGES3P4,10:102852578
rs67682613-<b>G</b>,6.999999999999999e-19,schizophrenia,NEU1,6:31858928
rs149979052-<b>C</b>,6.999999999999999e-19,schizophrenia,PSORS1C1,6:31137370
rs7476192-<b>?</b>,9e-19,schizophrenia,AS3MT,10:102889618
rs7476192-<b>?</b>,9e-19,schizophrenia,BORCS7-ASMT,10:102889618
rs4298967-<b>A</b>,1e-18,schizophrenia,UNKNOWN,Mapping not available
rs58120505-<b>?</b>,1e-18,schizophrenia,UNKNOWN,Mapping not available
rs10650434-<b>?</b>,1e-18,schizophrenia,MAD1L1,7:1985462
rs7085104-<b>?</b>,2e-18,schizophrenia,UNKNOWN,Mapping not available
rs35741362-<b>T</b>,2e-18,schizophrenia,LINC00240,6:27039908
rs12244388-<b>?</b>,2e-18,schizophrenia,AS3MT,10:102880295
rs12244388-<b>?</b>,2e-18,schizophrenia,BORCS7-ASMT,10:102880295
rs115406947-<b>G</b>,2e-18,schizophrenia,HLA-DRB9,6:32464869
rs2660304-<b>?</b>,2e-18,schizophrenia,MIR137HG,1:98046571
rs2949006-<b>?</b>,3.0000000000000002e-18,schizophrenia,UNKNOWN,Mapping not available
rs2007044-<b>G</b>,3.0000000000000002e-18,schizophrenia,CACNA1C,12:2235794
rs66691851-<b>?</b>,4e-18,schizophrenia,STAG1,3:136435986
rs1024582-<b>A</b>,6.0000000000000004e-18,schizophrenia,CACNA1C,12:2293080
rs1615350-<b>C</b>,6.0000000000000004e-18,schizophrenia,MPHOSPH9,12:123165788
