variant_and_allele,p_value,trait,gene,location
rs429358-<b>?</b>,2e-303,alzheimer disease,APOE,19:44908684
rs2075650-<b>G</b>,1e-295,alzheimer disease,TOMM40,19:44892362
rs429358-<b>C</b>,5e-286,alzheimer disease,APOE,19:44908684
rs41289512-<b>G</b>,3e-194,alzheimer disease,NECTIN2,19:44848259
rs2075650-<b>?</b>,2e-157,alzheimer disease,TOMM40,19:44892362
rs4420638-<b>?</b>,8e-149,alzheimer disease,APOC1P1,19:44919689
rs4420638-<b>?</b>,8e-149,alzheimer disease,APOC1,19:44919689
rs7412-<b>?</b>,3e-105,late-onset alzheimers disease,APOE,19:44908822
rs157580-<b>?</b>,8e-89,alzheimer disease,TOMM40,19:44892009
rs769449-<b>?</b>,2e-83,alzheimer disease,APOE,19:44906745
rs56131196-<b>?</b>,5.9999999999999996e-77,alzheimer disease,APOC1P1,19:44919589
rs56131196-<b>?</b>,5.9999999999999996e-77,alzheimer disease,APOC1,19:44919589
rs71352238-<b>?</b>,7e-69,alzheimer disease,TOMM40,19:44891079
rs157582-<b>?</b>,4e-63,alzheimer disease,TOMM40,19:44892962
rs483082-<b>?</b>,1e-62,alzheimer disease,APOC1,19:44912921
rs483082-<b>?</b>,1e-62,alzheimer disease,APOE,19:44912921
rs440446-<b>G</b>,9e-59,alzheimer disease,APOE,19:44905910
rs4663105-<b>?</b>,4e-58,late-onset alzheimers disease,NIFKP9,2:127133851
rs4663105-<b>?</b>,4e-58,late-onset alzheimers disease,BIN1,2:127133851
rs10119-<b>?</b>,2e-57,late-onset alzheimers disease,TOMM40,19:44903416
APOE-<b>?</b>,1e-49,late-onset alzheimers disease,UNKNOWN,Mapping not available
rs6733839-<b>T</b>,7e-44,alzheimer disease,BIN1,2:127135234
rs6733839-<b>T</b>,7e-44,alzheimer disease,NIFKP9,2:127135234
rs519113-<b>G</b>,5e-39,alzheimer disease,NECTIN2,19:44873027
rs6859-<b>A</b>,7e-39,alzheimer disease,NECTIN2,19:44878777
rs405509-<b>G</b>,3e-38,alzheimer disease,APOE,19:44905579
rs405509-<b>G</b>,3e-38,alzheimer disease,TOMM40,19:44905579
rs4803764-<b>C</b>,1e-34,alzheimer disease,NECTIN2,19:44854120
rs7412-<b>C</b>,3e-33,alzheimer disease,APOE,19:44908822
rs1582763-<b>?</b>,3e-33,late-onset alzheimers disease,MS4A4A,11:60254475
rs7412-<b>T</b>,2e-31,alzheimer disease,APOE,19:44908822
rs6733839-<b>?</b>,3.0000000000000003e-30,alzheimer disease,BIN1,2:127135234
rs6733839-<b>?</b>,3.0000000000000003e-30,alzheimer disease,NIFKP9,2:127135234
rs4663105-<b>C</b>,4e-29,alzheimer disease,NIFKP9,2:127133851
rs4663105-<b>C</b>,4e-29,alzheimer disease,BIN1,2:127133851
rs561655-<b>?</b>,1e-26,late-onset alzheimers disease,PICALM,11:86089237
rs561655-<b>?</b>,1e-26,late-onset alzheimers disease,RNU6-560P,11:86089237
rs10792832-<b>G</b>,9e-26,alzheimer disease,RNU6-560P,11:86156833
rs10792832-<b>G</b>,9e-26,alzheimer disease,LINC02695,11:86156833
rs187370608-<b>?</b>,1e-25,late-onset alzheimers disease,UNC5CL,6:40974457
rs187370608-<b>?</b>,1e-25,late-onset alzheimers disease,LRFN2,6:40974457
rs679515-<b>?</b>,2e-25,late-onset alzheimers disease,CR1,1:207577223
rs157591-<b>?</b>,2e-25,alzheimer disease,APOC1P1,19:44920677
rs157591-<b>?</b>,2e-25,alzheimer disease,APOC1,19:44920677
rs9331896-<b>T</b>,3.0000000000000002e-25,alzheimer disease,CLU,8:27610169
rs28399637-<b>A</b>,4e-25,alzheimer disease,BCAM,19:44820881
rs440446-<b>C</b>,7e-25,alzheimer disease,APOE,19:44905910
rs75932628-<b>T</b>,5e-24,late-onset alzheimers disease,TREM2,6:41161514
rs6656401-<b>A</b>,5.999999999999999e-24,alzheimer disease,CR1,1:207518704
rs7259620-<b>G</b>,2e-23,alzheimer disease,TOMM40,19:44904531
rs7259620-<b>G</b>,2e-23,alzheimer disease,APOE,19:44904531
rs283815-<b>?</b>,9e-23,alzheimer disease,NECTIN2,19:44887076
rs1160985-<b>C</b>,1e-22,alzheimer disease,TOMM40,19:44900155
rs1532278-<b>?</b>,2e-22,late-onset alzheimers disease,CLU,8:27608798
rs449647-<b>A</b>,9e-22,alzheimer disease,APOE,19:44905307
rs449647-<b>A</b>,9e-22,alzheimer disease,TOMM40,19:44905307
rs405509-<b>T</b>,2e-21,alzheimer disease,APOE,19:44905579
rs405509-<b>T</b>,2e-21,alzheimer disease,TOMM40,19:44905579
rs8106922-<b>A</b>,2e-20,alzheimer disease,TOMM40,19:44898409
