variant_and_allele,p_value,trait,gene,location,af,tissues
rs429358-<b>?</b>,1.9999999999999986e-303,alzheimer disease,APOE,19:44908684,-1.0,
rs2075650-<b>G</b>,9.999999999999994e-296,alzheimer disease,TOMM40,19:44892362,0.12893883095160585,
rs429358-<b>C</b>,4.999999999999998e-286,alzheimer disease,APOE,19:44908684,0.07441837441837441,
rs41289512-<b>G</b>,2.999999999999998e-194,alzheimer disease,NECTIN2,19:44848259,0.028321863419798837,
rs2075650-<b>?</b>,1.9999999999999996e-157,alzheimer disease,TOMM40,19:44892362,-1.0,
rs4420638-<b>?</b>,7.999999999999998e-149,alzheimer disease,APOC1P1,19:44919689,-1.0,
rs4420638-<b>?</b>,7.999999999999998e-149,alzheimer disease,APOC1,19:44919689,-1.0,
rs7412-<b>?</b>,2.9999999999999993e-105,late-onset alzheimers disease,APOE,19:44908822,-1.0,
rs157580-<b>?</b>,7.999999999999999e-89,alzheimer disease,TOMM40,19:44892009,-1.0,
rs769449-<b>?</b>,1.9999999999999997e-83,alzheimer disease,APOE,19:44906745,-1.0,
rs56131196-<b>?</b>,5.999999999999999e-77,alzheimer disease,APOC1P1,19:44919589,-1.0,
rs56131196-<b>?</b>,5.999999999999999e-77,alzheimer disease,APOC1,19:44919589,-1.0,
rs71352238-<b>?</b>,6.999999999999998e-69,alzheimer disease,TOMM40,19:44891079,-1.0,
rs157582-<b>?</b>,3.999999999999999e-63,alzheimer disease,TOMM40,19:44892962,-1.0,
rs483082-<b>?</b>,1e-62,alzheimer disease,APOC1,19:44912921,-1.0,
rs483082-<b>?</b>,1e-62,alzheimer disease,APOE,19:44912921,-1.0,
rs440446-<b>G</b>,9.000000000000002e-59,alzheimer disease,APOE,19:44905910,0.6215782664941786,
rs4663105-<b>?</b>,4e-58,late-onset alzheimers disease,NIFKP9,2:127133851,-1.0,Whole_Blood&Esophagus_Muscularis&Artery_Aorta&Brain_Cerebellum
rs4663105-<b>?</b>,4e-58,late-onset alzheimers disease,BIN1,2:127133851,-1.0,Whole_Blood&Esophagus_Muscularis&Artery_Aorta&Brain_Cerebellum
rs10119-<b>?</b>,2e-57,late-onset alzheimers disease,TOMM40,19:44903416,-1.0,
APOE-<b>?</b>,1e-49,late-onset alzheimers disease,UNKNOWN,Mapping not available,-1.0,
rs6733839-<b>T</b>,7e-44,alzheimer disease,BIN1,2:127135234,0.3900671055963535,Artery_Aorta
rs6733839-<b>T</b>,7e-44,alzheimer disease,NIFKP9,2:127135234,0.3900671055963535,Artery_Aorta
rs519113-<b>G</b>,5e-39,alzheimer disease,NECTIN2,19:44873027,0.21838641293630448,
rs6859-<b>A</b>,6.999999999999999e-39,alzheimer disease,NECTIN2,19:44878777,0.4129277419852629,
rs405509-<b>G</b>,3e-38,alzheimer disease,APOE,19:44905579,0.5338613631906435,
rs405509-<b>G</b>,3e-38,alzheimer disease,TOMM40,19:44905579,0.5338613631906435,
rs4803764-<b>C</b>,1e-34,alzheimer disease,NECTIN2,19:44854120,0.14053083728683166,
rs7412-<b>C</b>,2.9999999999999998e-33,alzheimer disease,APOE,19:44908822,0.9168842752291606,
rs1582763-<b>?</b>,2.9999999999999998e-33,late-onset alzheimers disease,MS4A4A,11:60254475,-1.0,
rs7412-<b>T</b>,1.9999999999999997e-31,alzheimer disease,APOE,19:44908822,0.08311572477083938,
rs6733839-<b>?</b>,3.0000000000000003e-30,alzheimer disease,BIN1,2:127135234,-1.0,Artery_Aorta
rs6733839-<b>?</b>,3.0000000000000003e-30,alzheimer disease,NIFKP9,2:127135234,-1.0,Artery_Aorta
rs4663105-<b>C</b>,4.0000000000000003e-29,alzheimer disease,NIFKP9,2:127133851,0.4429796696315121,Whole_Blood&Esophagus_Muscularis&Artery_Aorta&Brain_Cerebellum
rs4663105-<b>C</b>,4.0000000000000003e-29,alzheimer disease,BIN1,2:127133851,0.4429796696315121,Whole_Blood&Esophagus_Muscularis&Artery_Aorta&Brain_Cerebellum
rs561655-<b>?</b>,1e-26,late-onset alzheimers disease,PICALM,11:86089237,-1.0,
rs561655-<b>?</b>,1e-26,late-onset alzheimers disease,RNU6-560P,11:86089237,-1.0,
rs10792832-<b>G</b>,9e-26,alzheimer disease,RNU6-560P,11:86156833,0.7012133468149646,
rs10792832-<b>G</b>,9e-26,alzheimer disease,LINC02695,11:86156833,0.7012133468149646,
rs187370608-<b>?</b>,1e-25,late-onset alzheimers disease,UNC5CL,6:40974457,-1.0,
rs187370608-<b>?</b>,1e-25,late-onset alzheimers disease,LRFN2,6:40974457,-1.0,
rs679515-<b>?</b>,2e-25,late-onset alzheimers disease,CR1,1:207577223,-1.0,Brain_Cortex&Adipose_Subcutaneous&Lung&Brain_Hippocampus&Brain_Caudate_basal_ganglia&Esophagus_Gastroesophageal_Junction&Brain_Frontal_Cortex_BA9&Esophagus_Muscularis&Brain_Putamen_basal_ganglia&Colon_Sigmoid&Adrenal_Gland&Brain_Nucleus_accumbens_basal_ganglia
rs157591-<b>?</b>,2e-25,alzheimer disease,APOC1P1,19:44920677,-1.0,
rs157591-<b>?</b>,2e-25,alzheimer disease,APOC1,19:44920677,-1.0,
rs9331896-<b>T</b>,3e-25,alzheimer disease,CLU,8:27610169,0.5787277527037384,Skin_Not_Sun_Exposed_Suprapubic&Heart_Atrial_Appendage&Adipose_Subcutaneous&Heart_Left_Ventricle&Skin_Sun_Exposed_Lower_leg&Muscle_Skeletal
rs28399637-<b>A</b>,4e-25,alzheimer disease,BCAM,19:44820881,0.27685302555207153,
rs440446-<b>C</b>,6.9999999999999995e-25,alzheimer disease,APOE,19:44905910,0.3784217335058215,
rs75932628-<b>T</b>,5e-24,late-onset alzheimers disease,TREM2,6:41161514,0.002317983133913197,
rs6656401-<b>A</b>,5.9999999999999984e-24,alzheimer disease,CR1,1:207518704,0.17943424530323596,Brain_Cortex&Adipose_Subcutaneous&Lung&Brain_Hippocampus&Brain_Caudate_basal_ganglia&Esophagus_Gastroesophageal_Junction&Brain_Frontal_Cortex_BA9&Esophagus_Muscularis&Brain_Putamen_basal_ganglia&Colon_Sigmoid&Adrenal_Gland&Brain_Nucleus_accumbens_basal_ganglia
