,variant_and_allele,p_value,trait,gene,location,maf
275,rs429358-<b>?</b>,2e-303,alzheimer disease,APOE,19:44908684,-1.0
559,rs2075650-<b>G</b>,1e-295,alzheimer disease,TOMM40,19:44892362,0.12893883095160585
328,rs429358-<b>C</b>,5e-286,alzheimer disease,APOE,19:44908684,0.07441837441837441
222,rs41289512-<b>G</b>,3e-194,alzheimer disease,NECTIN2,19:44848259,0.028321863419798834
419,rs2075650-<b>?</b>,2e-157,alzheimer disease,TOMM40,19:44892362,-1.0
389,rs4420638-<b>?</b>,8e-149,alzheimer disease,APOC1P1,19:44919689,-1.0
389,rs4420638-<b>?</b>,8e-149,alzheimer disease,APOC1,19:44919689,-1.0
6,rs7412-<b>?</b>,3e-105,late-onset alzheimers disease,APOE,19:44908822,-1.0
382,rs157580-<b>?</b>,8e-89,alzheimer disease,TOMM40,19:44892009,-1.0
608,rs769449-<b>?</b>,2e-83,alzheimer disease,APOE,19:44906745,-1.0
585,rs56131196-<b>?</b>,5.9999999999999996e-77,alzheimer disease,APOC1P1,19:44919589,-1.0
585,rs56131196-<b>?</b>,5.9999999999999996e-77,alzheimer disease,APOC1,19:44919589,-1.0
617,rs71352238-<b>?</b>,7e-69,alzheimer disease,TOMM40,19:44891079,-1.0
621,rs157582-<b>?</b>,4e-63,alzheimer disease,TOMM40,19:44892962,-1.0
638,rs483082-<b>?</b>,1e-62,alzheimer disease,APOC1,19:44912921,-1.0
638,rs483082-<b>?</b>,1e-62,alzheimer disease,APOE,19:44912921,-1.0
303,rs440446-<b>G</b>,9e-59,alzheimer disease,APOE,19:44905910,0.6215782664941786
168,rs4663105-<b>?</b>,4e-58,late-onset alzheimers disease,NIFKP9,2:127133851,-1.0
168,rs4663105-<b>?</b>,4e-58,late-onset alzheimers disease,BIN1,2:127133851,-1.0
203,rs10119-<b>?</b>,2e-57,late-onset alzheimers disease,TOMM40,19:44903416,-1.0
0,APOE-<b>?</b>,1e-49,late-onset alzheimers disease,UNKNOWN,Mapping not available,-1.0
473,rs6733839-<b>T</b>,7e-44,alzheimer disease,BIN1,2:127135234,0.3900671055963535
473,rs6733839-<b>T</b>,7e-44,alzheimer disease,NIFKP9,2:127135234,0.3900671055963535
406,rs519113-<b>G</b>,5e-39,alzheimer disease,NECTIN2,19:44873027,0.21838641293630448
319,rs6859-<b>A</b>,7e-39,alzheimer disease,NECTIN2,19:44878777,0.41292774198526294
717,rs405509-<b>G</b>,3e-38,alzheimer disease,APOE,19:44905579,0.5338613631906435
717,rs405509-<b>G</b>,3e-38,alzheimer disease,TOMM40,19:44905579,0.5338613631906435
320,rs4803764-<b>C</b>,1e-34,alzheimer disease,NECTIN2,19:44854120,0.14053083728683163
301,rs7412-<b>C</b>,3e-33,alzheimer disease,APOE,19:44908822,0.9168842752291606
184,rs1582763-<b>?</b>,3e-33,late-onset alzheimers disease,MS4A4A,11:60254475,-1.0
718,rs7412-<b>T</b>,2e-31,alzheimer disease,APOE,19:44908822,0.08311572477083938
295,rs6733839-<b>?</b>,3.0000000000000003e-30,alzheimer disease,BIN1,2:127135234,-1.0
295,rs6733839-<b>?</b>,3.0000000000000003e-30,alzheimer disease,NIFKP9,2:127135234,-1.0
223,rs4663105-<b>C</b>,4e-29,alzheimer disease,NIFKP9,2:127133851,0.4429796696315121
223,rs4663105-<b>C</b>,4e-29,alzheimer disease,BIN1,2:127133851,0.4429796696315121
185,rs561655-<b>?</b>,1e-26,late-onset alzheimers disease,PICALM,11:86089237,-1.0
185,rs561655-<b>?</b>,1e-26,late-onset alzheimers disease,RNU6-560P,11:86089237,-1.0
478,rs10792832-<b>G</b>,9e-26,alzheimer disease,RNU6-560P,11:86156833,0.7012133468149646
478,rs10792832-<b>G</b>,9e-26,alzheimer disease,LINC02695,11:86156833,0.7012133468149646
174,rs187370608-<b>?</b>,1e-25,late-onset alzheimers disease,UNC5CL,6:40974457,-1.0
174,rs187370608-<b>?</b>,1e-25,late-onset alzheimers disease,LRFN2,6:40974457,-1.0
166,rs679515-<b>?</b>,2e-25,late-onset alzheimers disease,CR1,1:207577223,-1.0
702,rs157591-<b>?</b>,2e-25,alzheimer disease,APOC1P1,19:44920677,-1.0
702,rs157591-<b>?</b>,2e-25,alzheimer disease,APOC1,19:44920677,-1.0
476,rs9331896-<b>T</b>,3.0000000000000002e-25,alzheimer disease,CLU,8:27610169,0.5787277527037384
720,rs28399637-<b>A</b>,4e-25,alzheimer disease,BCAM,19:44820881,0.27685302555207153
707,rs440446-<b>C</b>,7e-25,alzheimer disease,APOE,19:44905910,0.3784217335058215
10,rs75932628-<b>T</b>,5e-24,late-onset alzheimers disease,TREM2,6:41161514,0.002317983133913197
472,rs6656401-<b>A</b>,5.999999999999999e-24,alzheimer disease,CR1,1:207518704,0.17943424530323596
630,rs7259620-<b>G</b>,2e-23,alzheimer disease,TOMM40,19:44904531,0.5678858506792095
630,rs7259620-<b>G</b>,2e-23,alzheimer disease,APOE,19:44904531,0.5678858506792095
637,rs283815-<b>?</b>,9e-23,alzheimer disease,NECTIN2,19:44887076,-1.0
629,rs1160985-<b>C</b>,1e-22,alzheimer disease,TOMM40,19:44900155,0.5361044223879721
179,rs1532278-<b>?</b>,2e-22,late-onset alzheimers disease,CLU,8:27608798,-1.0
304,rs449647-<b>A</b>,9e-22,alzheimer disease,APOE,19:44905307,0.7984668913776232
304,rs449647-<b>A</b>,9e-22,alzheimer disease,TOMM40,19:44905307,0.7984668913776232
627,rs405509-<b>T</b>,2e-21,alzheimer disease,APOE,19:44905579,0.4661386368093566
627,rs405509-<b>T</b>,2e-21,alzheimer disease,TOMM40,19:44905579,0.4661386368093566
628,rs8106922-<b>A</b>,2e-20,alzheimer disease,TOMM40,19:44898409,0.5968836751141757
721,rs11668327-<b>C</b>,4e-20,alzheimer disease,TOMM40,19:44895376,0.09620394491998512
228,rs4236673-<b>A</b>,5.999999999999999e-20,alzheimer disease,CLU,8:27607412,0.33622881355932205
625,rs769450-<b>G</b>,6e-19,alzheimer disease,APOE,19:44907187,0.603212015955112
248,rs9331896-<b>C</b>,1e-18,alzheimer disease,CLU,8:27610169,0.4212722472962616
281,rs10792832-<b>?</b>,4e-18,alzheimer disease,RNU6-560P,11:86156833,-1.0
281,rs10792832-<b>?</b>,4e-18,alzheimer disease,LINC02695,11:86156833,-1.0
213,rs6857-<b>T</b>,7e-18,alzheimer disease,NECTIN2,19:44888997,0.1426038151642449
322,rs60049679-<b>C</b>,1e-17,alzheimer disease,APOC1,19:44926451,0.02665776050522225
322,rs60049679-<b>C</b>,1e-17,alzheimer disease,APOC1P1,19:44926451,0.02665776050522225
250,rs10792832-<b>A</b>,1e-17,alzheimer disease,RNU6-560P,11:86156833,0.2987866531850354
250,rs10792832-<b>A</b>,1e-17,alzheimer disease,LINC02695,11:86156833,0.2987866531850354
175,rs9369716-<b>?</b>,2e-17,late-onset alzheimers disease,CD2AP,6:47584444,-1.0
409,rs3764650-<b>?</b>,5.0000000000000005e-17,alzheimer disease,ABCA7,19:1046521,-1.0
188,rs12590654-<b>?</b>,7e-17,late-onset alzheimers disease,SLC24A4,14:92472511,-1.0
311,rs4803748-<b>C</b>,3e-16,alzheimer disease,CEACAM16-AS1,19:44743791,0.7368724754760531
311,rs4803748-<b>C</b>,3e-16,alzheimer disease,BCL3,19:44743791,0.7368724754760531
477,rs983392-<b>A</b>,6e-16,alzheimer disease,LINC02705,11:60156035,0.6641609317098994
477,rs983392-<b>A</b>,6e-16,alzheimer disease,MS4A2,11:60156035,0.6641609317098994
325,rs28399664-<b>G</b>,6e-16,alzheimer disease,NECTIN2,19:44821499,0.013043276266579943
325,rs28399664-<b>G</b>,6e-16,alzheimer disease,BCAM,19:44821499,0.013043276266579943
561,APOE-<b>E4</b>,6.999999999999999e-16,alzheimer disease,UNKNOWN,Mapping not available,-1.0
201,rs6069737-<b>?</b>,6.999999999999999e-16,late-onset alzheimers disease,CASS4,20:56420643,-1.0
318,rs74846209-<b>T</b>,9e-16,alzheimer disease,MARK4,19:45146841,0.034048224887919545
318,rs74846209-<b>T</b>,9e-16,alzheimer disease,PPP1R37,19:45146841,0.034048224887919545
177,rs7384878-<b>?</b>,9e-16,late-onset alzheimers disease,PMS2P1,7:100334426,-1.0
479,rs4147929-<b>A</b>,1e-15,alzheimer disease,ABCA7,19:1063444,0.15742916378714583
212,rs283811-<b>G</b>,1e-15,alzheimer disease,NECTIN2,19:44885243,0.24706736677466204
214,rs483082-<b>T</b>,1e-15,alzheimer disease,APOC1,19:44912921,0.2821690323777716
214,rs483082-<b>T</b>,1e-15,alzheimer disease,APOE,19:44912921,0.2821690323777716
316,rs7561528-<b>A</b>,2e-15,alzheimer disease,BIN1,2:127132061,0.3146119685384122
316,rs7561528-<b>A</b>,2e-15,alzheimer disease,NIFKP9,2:127132061,0.3146119685384122
196,rs12151021-<b>?</b>,3.0000000000000002e-15,late-onset alzheimers disease,ABCA7,19:1050875,-1.0
189,rs602602-<b>?</b>,6.0000000000000005e-15,late-onset alzheimers disease,SNORD3P1,15:58764824,-1.0
189,rs602602-<b>?</b>,6.0000000000000005e-15,late-onset alzheimers disease,MINDY2,15:58764824,-1.0
280,rs9331896-<b>?</b>,6.0000000000000005e-15,alzheimer disease,CLU,8:27610169,-1.0
181,rs7912495-<b>?</b>,8e-15,late-onset alzheimers disease,ECHDC3,10:11676714,-1.0
181,rs7912495-<b>?</b>,8e-15,late-onset alzheimers disease,USP6NL-AS1,10:11676714,-1.0
471,rs11218343-<b>T</b>,1e-14,alzheimer disease,SORL1,11:121564878,0.972722091034932
410,rs610932-<b>?</b>,2e-14,alzheimer disease,MS4A6A,11:60171834,-1.0
410,rs610932-<b>?</b>,2e-14,alzheimer disease,LINC02705,11:60171834,-1.0
7,rs143332484-<b>T</b>,2e-14,late-onset alzheimers disease,TREM2,6:41161469,0.0096997193730383
294,rs6656401-<b>?</b>,2e-14,alzheimer disease,CR1,1:207518704,-1.0
598,rs584007-<b>?</b>,3e-14,alzheimer disease,APOE,19:44913221,-1.0
598,rs584007-<b>?</b>,3e-14,alzheimer disease,APOC1,19:44913221,-1.0
307,rs71352239-<b>C</b>,3e-14,alzheimer disease,APOC1,19:44926286,0.7016140157263071
307,rs71352239-<b>C</b>,3e-14,alzheimer disease,APOC1P1,19:44926286,0.7016140157263071
173,rs1846190-<b>?</b>,3e-14,late-onset alzheimers disease,HLA-DRB1,6:32616036,-1.0
173,rs1846190-<b>?</b>,3e-14,late-onset alzheimers disease,HLA-DQA1,6:32616036,-1.0
639,rs10405693-<b>?</b>,3e-14,alzheimer disease,NECTIN2,19:44823407,-1.0
639,rs10405693-<b>?</b>,3e-14,alzheimer disease,BCAM,19:44823407,-1.0
412,rs744373-<b>?</b>,3e-14,alzheimer disease,BIN1,2:127137039,-1.0
412,rs744373-<b>?</b>,3e-14,alzheimer disease,NIFKP9,2:127137039,-1.0
411,rs3818361-<b>?</b>,4e-14,alzheimer disease,CR1,1:207611623,-1.0
326,rs138607350-<b>G</b>,6e-14,alzheimer disease,NECTIN2,19:44860563,0.01037106524911403
599,rs439401-<b>?</b>,6e-14,alzheimer disease,APOE,19:44911194,-1.0
599,rs439401-<b>?</b>,6e-14,alzheimer disease,APOC1,19:44911194,-1.0
640,rs10402271-<b>?</b>,7e-14,alzheimer disease,BCAM,19:44825957,-1.0
640,rs10402271-<b>?</b>,7e-14,alzheimer disease,NECTIN2,19:44825957,-1.0
486,rs28834970-<b>C</b>,7e-14,alzheimer disease,PTK2B,8:27337604,0.31596057046979864
593,rs405697-<b>?</b>,1e-13,alzheimer disease,TOMM40,19:44901434,-1.0
475,rs11771145-<b>G</b>,1e-13,alzheimer disease,EPHA1-AS1,7:143413669,0.6483950225419833
186,rs11218343-<b>?</b>,1e-13,late-onset alzheimers disease,SORL1,11:121564878,-1.0
150,rs114812713-<b>C</b>,2e-13,late-onset alzheimers disease,OARD1,6:41066261,0.004183873071071507
674,rs79832570-<b>C</b>,4e-13,alzheimer disease,SPATC1,8:144042819,0.07599388379204892
234,rs7935829-<b>G</b>,8e-13,alzheimer disease,MS4A6A,11:60175342,0.3587936403868218
282,rs983392-<b>?</b>,9e-13,alzheimer disease,LINC02705,11:60156035,-1.0
282,rs983392-<b>?</b>,9e-13,alzheimer disease,MS4A2,11:60156035,-1.0
432,rs112724034-<b>?</b>,9e-13,alzheimer disease,PGAM5P1,5:109885325,-1.0
724,rs2927468-<b>A</b>,1e-12,alzheimer disease,NECTIN2,19:44854682,0.495076760190577
302,rs111371860-<b>A</b>,1e-12,alzheimer disease,NECTIN2,19:44842530,0.9419737399407031
302,rs111371860-<b>A</b>,1e-12,alzheimer disease,BCAM,19:44842530,0.9419737399407031
485,rs9271192-<b>C</b>,3e-12,alzheimer disease,HLA-DRB1,6:32610753,0.27091785594959666
485,rs9271192-<b>C</b>,3e-12,alzheimer disease,HLA-DQA1,6:32610753,0.27091785594959666
170,rs4504245-<b>?</b>,5e-12,late-onset alzheimers disease,MIR572,4:11013198,-1.0
170,rs4504245-<b>?</b>,5e-12,late-onset alzheimers disease,LINC02498,4:11013198,-1.0
676,rs12444183-<b>A</b>,7e-12,alzheimer disease,PLCG2,16:81739604,0.3935240700289735
190,rs117618017-<b>?</b>,7e-12,late-onset alzheimers disease,APH1B,15:63277703,-1.0
505,rs4938933-<b>?</b>,8e-12,alzheimer disease,MS4A4A,11:60266956,-1.0
668,rs4351014-<b>C</b>,9e-12,alzheimer disease,UNKNOWN,4:11025995,0.7183153880663975
463,rs72832584-<b>?</b>,1e-11,alzheimer disease,BCAS3,17:61215075,-1.0
324,rs141441332-<b>A</b>,1e-11,alzheimer disease,APOC1P1,19:44935318,0.011854867680517304
324,rs141441332-<b>A</b>,1e-11,alzheimer disease,APOC4,19:44935318,0.011854867680517304
665,rs2154481-<b>C</b>,1e-11,alzheimer disease,APP,21:26101558,0.5044135669570402
148,rs7920721-<b>G</b>,2e-11,late-onset alzheimers disease,ECHDC3,10:11678309,0.36511280730057066
