"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
APOE-<b>?</b>,"1 x 10-49",,NR,'-,'-,'-,'-,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",'-,GCST006806,"Mapping not available"
rs1060743-<b>?</b>,"5 x 10-8",,NR,1.1066935,'-,'-,BIN1,"Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,2:127068957
rs1532278-<b>?</b>,"6 x 10-10",,NR,1.1177499,'-,'-,CLU,"Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,8:27608798
rs3865444-<b>?</b>,"2 x 10-6",,NR,1.0942049,'-,'-,"SIGLEC22P, CD33","Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,19:51224706
rs6656401-<b>?</b>,"7 x 10-11",,NR,1.1725225,'-,'-,CR1,"Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,1:207518704
rs7232-<b>?</b>,"6 x 10-7",,NR,1.0942651,'-,'-,MS4A6A,"Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,11:60173126
rs7412-<b>?</b>,"3 x 10-105",,NR,2.3065467,'-,'-,APOE,"Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,19:44908822
rs143332484-<b>T</b>,"2 x 10-14",,NR,1.6665556,'-,[1.46-1.90],TREM2,"Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,6:41161469
rs616338-<b>T</b>,"5 x 10-10",,NR,1.4296066,'-,[1.3-1.6],ABI3,"Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,17:49219935
rs72824905-<b>?</b>,"5 x 10-10",,NR,1.4756235,'-,[1.25-1.67],PLCG2,"Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,16:81908423
rs75932628-<b>T</b>,"5 x 10-24",,NR,2.4557426,'-,[2.06-2.92],TREM2,"Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,6:41161514
rs78541046-<b>?</b>,"2 x 10-6",(adjusted),NR,6.2228026,'-,[2.94-12.5],RHBDF1,"Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,16:63029
rs11828907-<b>C</b>,"2 x 10-7",,NR,4.4935546,'-,[2.55-7.92],AHNAK,"Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,11:62521506
rs139967528-<b>G</b>,"6 x 10-10",,NR,6.119662,'-,[3.45-10.9],ATP5F1C,"Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,10:7799848
rs201850688-<b>G</b>,"9 x 10-6",,NR,1.804889,'-,[1.39-2.34],BSG,"Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,19:572671
rs201879533-<b>?</b>,"4 x 10-6",(adjusted),NR,5.6306844,'-,[2.7-12.5],THSD4,"Alzheimer's disease (late onset)","late-onset Alzheimers disease",'-,GCST005549,15:71746912
