variant_and_allele,p_value,trait,gene,location
rs12410155-<b>?</b>,8e-14,attention deficit hyperactivity disorder,ST3GAL3-AS1,1:43722794
rs12410155-<b>?</b>,8e-14,attention deficit hyperactivity disorder,ST3GAL3,1:43722794
rs12658032-<b>A</b>,1e-13,attention deficit hyperactivity disorder,LINC02163,5:104568525
rs12658032-<b>A</b>,1e-13,attention deficit hyperactivity disorder,RNU6-334P,5:104568525
rs11420276-<b>?</b>,2e-13,attention deficit hyperactivity disorder,ST3GAL3,1:43718522
rs11420276-<b>?</b>,2e-13,attention deficit hyperactivity disorder,ST3GAL3-AS1,1:43718522
rs112361411-<b>T</b>,2e-13,attention deficit hyperactivity disorder,ST3GAL3-AS1,1:43718252
rs112361411-<b>T</b>,2e-13,attention deficit hyperactivity disorder,ST3GAL3,1:43718252
rs6584649-<b>?</b>,1e-11,attention deficit hyperactivity disorder,SORCS3,10:104985346
rs12265655-<b>T</b>,2e-11,attention deficit hyperactivity disorder,SORCS3,10:104984776
rs12658032-<b>?</b>,1e-10,attention deficit hyperactivity disorder,LINC02163,5:104568525
rs12658032-<b>?</b>,1e-10,attention deficit hyperactivity disorder,RNU6-334P,5:104568525
rs113551349-<b>?</b>,4e-10,attention deficit hyperactivity disorder,SLC6A9,1:44009451
rs5886709-<b>G</b>,4e-10,attention deficit hyperactivity disorder,FOXP2,7:114446079
rs11192193-<b>?</b>,1e-09,attention deficit hyperactivity disorder,SORCS3,10:104809495
rs78648104-<b>T</b>,1e-09,attention deficit hyperactivity disorder,TFAP2D,6:50715296
rs1592757-<b>C</b>,1e-09,attention deficit hyperactivity disorder,UNKNOWN,5:104554297
rs10789368-<b>A</b>,1e-09,attention deficit hyperactivity disorder,LINC01360,1:73348476
rs13023832-<b>A</b>,2e-09,attention deficit hyperactivity disorder,SPAG16,2:214355084
rs35928531-<b>?</b>,2e-09,attention deficit hyperactivity disorder,POC1B,12:89354807
rs35928531-<b>?</b>,2e-09,attention deficit hyperactivity disorder,DUSP6,12:89354807
rs1427829-<b>?</b>,2e-09,attention deficit hyperactivity disorder,DUSP6,12:89366967
rs1427829-<b>?</b>,2e-09,attention deficit hyperactivity disorder,POC1B,12:89366967
rs4275621-<b>A</b>,3.0000000000000004e-09,attention deficit hyperactivity disorder,LINC02758,11:28631449
rs8084351-<b>?</b>,4e-09,attention deficit hyperactivity disorder,DCC,18:53200189
rs11591402-<b>T</b>,4e-09,attention deficit hyperactivity disorder,SORCS3,10:104987596
rs74760947-<b>?</b>,4e-09,attention deficit hyperactivity disorder,UNKNOWN,8:34495092
rs16828074-<b>?</b>,6.000000000000001e-09,attention deficit hyperactivity disorder,NCL,2:231454043
rs1427829-<b>A</b>,7.000000000000001e-09,attention deficit hyperactivity disorder,DUSP6,12:89366967
rs1427829-<b>A</b>,7.000000000000001e-09,attention deficit hyperactivity disorder,POC1B,12:89366967
rs281297-<b>?</b>,7.000000000000001e-09,attention deficit hyperactivity disorder,SEMA6D,15:47393307
rs2842198-<b>A</b>,8e-09,attention deficit hyperactivity disorder,PTPRF,1:43465067
rs2842198-<b>A</b>,8e-09,attention deficit hyperactivity disorder,HYI-AS1,1:43465067
rs9969232-<b>?</b>,8e-09,attention deficit hyperactivity disorder,FOXP2,7:114518899
rs212178-<b>?</b>,8e-09,attention deficit hyperactivity disorder,LINC01572,16:72544232
rs35947542-<b>?</b>,9.000000000000001e-09,attention deficit hyperactivity disorder,HYI-AS1,1:43518009
rs35947542-<b>?</b>,9.000000000000001e-09,attention deficit hyperactivity disorder,PTPRF,1:43518009
rs11591402-<b>?</b>,1e-08,attention deficit hyperactivity disorder,SORCS3,10:104987596
rs7684645-<b>A</b>,1e-08,attention deficit hyperactivity disorder,APELA,4:164874994
rs7684645-<b>A</b>,1e-08,attention deficit hyperactivity disorder,SMIM31,4:164874994
rs9677504-<b>?</b>,1e-08,attention deficit hyperactivity disorder,SPAG16,2:214317165
rs7995215-<b>?</b>,1e-08,attention deficit hyperactivity disorder,GPC6,13:93756253
rs2243517-<b>?</b>,1e-08,attention deficit hyperactivity disorder,OBI1-AS1,13:78330662
rs28411770-<b>?</b>,1e-08,attention deficit hyperactivity disorder,LINC02497,4:31149834
rs28411770-<b>?</b>,1e-08,attention deficit hyperactivity disorder,PCDH7,4:31149834
rs7952220-<b>?</b>,1e-08,attention deficit hyperactivity disorder,METTL15,11:28585698
rs7952220-<b>?</b>,1e-08,attention deficit hyperactivity disorder,LINC02758,11:28585698
rs349588-<b>A</b>,1e-08,attention deficit hyperactivity disorder,LINC02163,5:104336166
rs10789368-<b>?</b>,1e-08,attention deficit hyperactivity disorder,LINC01360,1:73348476
rs3001723-<b>A</b>,1e-08,attention deficit hyperactivity disorder,PTPRF,1:43572014
rs864643-<b>?</b>,1e-08,attention deficit hyperactivity disorder,MOBP,3:39514089
rs1484144-<b>T</b>,2e-08,attention deficit hyperactivity disorder,LINC01088,4:79296443
rs1484144-<b>T</b>,2e-08,attention deficit hyperactivity disorder,NAA11,4:79296443
rs5886709-<b>?</b>,2e-08,attention deficit hyperactivity disorder,FOXP2,7:114446079
rs7585730-<b>?</b>,2e-08,attention deficit hyperactivity disorder,RNA5SP87,2:22316866
rs4858241-<b>?</b>,2e-08,attention deficit hyperactivity disorder,SGO1-AS1,3:20627579
rs1021938-<b>?</b>,2e-08,attention deficit hyperactivity disorder,SGO1-AS1,3:20531976
rs56022653-<b>?</b>,2e-08,attention deficit hyperactivity disorder,LINC00461,5:88588020
rs3047819-<b>T</b>,2e-08,attention deficit hyperactivity disorder,MEF2C,5:88879383
rs12538843-<b>A</b>,2e-08,attention deficit hyperactivity disorder,POU6F2,7:39560498
rs12538843-<b>A</b>,2e-08,attention deficit hyperactivity disorder,YAE1,7:39560498
rs4916723-<b>?</b>,2e-08,attention deficit hyperactivity disorder,LINC00461,5:88558577
rs183882582-<b>T</b>,2e-08,attention deficit hyperactivity disorder,RSPH3,6:158963192
