"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs144783209-<b>T</b>,"3 x 10-7",,NR,1.47,'-,NR,SMAD1,"Panic disorder","panic disorder",'-,GCST009525,4:145482377
rs79919349-<b>A</b>,"2 x 10-6",,NR,1.77,'-,NR,"RNU6-929P, PTMAP6","Panic disorder","panic disorder",'-,GCST009525,20:56707790
rs41280169-<b>T</b>,"3 x 10-6",,NR,1.4,'-,NR,PTBP3,"Panic disorder","panic disorder",'-,GCST009525,9:112220657
rs2554444-<b>T</b>,"3 x 10-6",,NR,1.2048193,'-,NR,SNHG14,"Panic disorder","panic disorder",'-,GCST009525,15:25012438
rs6914428-<b>G</b>,"5 x 10-6",,NR,1.1764705,'-,NR,DHFRP5,"Panic disorder","panic disorder",'-,GCST009525,6:62520835
rs3816995-<b>?</b>,"2 x 10-7",,0.03,'-,'-,'-,SDK2,"Panic disorder","panic disorder",'-,GCST000320,17:73339121
rs4702982-<b>?</b>,"6 x 10-6",,0.16,'-,'-,'-,"RN7SKP62, FAM174A","Panic disorder","panic disorder",'-,GCST000320,5:100655944
rs2103868-<b>?</b>,"5 x 10-6",,0.26,'-,'-,'-,TNFRSF21,"Panic disorder","panic disorder",'-,GCST000320,6:47262879
rs860554-<b>?</b>,"5 x 10-8",,0.05,'-,'-,'-,PKP1,"Panic disorder","panic disorder",'-,GCST000320,1:201293304
rs941184-<b>?</b>,"3 x 10-7",,0.03,'-,'-,'-,CALCOCO1,"Panic disorder","panic disorder",'-,GCST000320,12:53720374
rs9372078-<b>?</b>,"5 x 10-7",,0.11,'-,'-,'-,PLEKHG1,"Panic disorder","panic disorder",'-,GCST000320,6:150592825
rs12579350-<b>?</b>,"4 x 10-9",,0.01,'-,'-,'-,ANO2,"Panic disorder","panic disorder",'-,GCST000320,12:5687935
rs7299940-<b>?</b>,"7 x 10-6",,0.29,'-,'-,'-,"Y_RNA, RAN","Panic disorder","panic disorder",'-,GCST000320,12:130906209
rs17466684-<b>?</b>,"7 x 10-7",,0.09,'-,'-,'-,"GULOP, CLU","Panic disorder","panic disorder",'-,GCST000320,8:27595330
rs3749380-<b>?</b>,"2 x 10-6",,0.25,'-,'-,'-,GRM7,"Panic disorder","panic disorder",'-,GCST000320,3:6861610
rs2823455-<b>?</b>,"9 x 10-6",,0.03,'-,'-,'-,"USP25, RAD23BP3","Panic disorder","panic disorder",'-,GCST000320,21:15696847
rs9302001-<b>?</b>,"3 x 10-7",,0.20,'-,'-,'-,SOX21-AS1,"Panic disorder","panic disorder",'-,GCST000320,13:94811138
rs2731006-<b>?</b>,"4 x 10-6",,0.29,'-,'-,'-,LINC02450,"Panic disorder","panic disorder",'-,GCST000320,12:42767023
rs12061304-<b>?</b>,"1 x 10-6",,0.10,'-,'-,'-,"KCNA3, Y_RNA","Panic disorder","panic disorder",'-,GCST000320,1:110695063
rs4901869-<b>?</b>,"6 x 10-6",,0.02,'-,'-,'-,LINC01500,"Panic disorder","panic disorder",'-,GCST000320,14:58867410
rs16989303-<b>?</b>,"6 x 10-6",,0.21,'-,'-,'-,"LINC01433, SMOX","Panic disorder","panic disorder",'-,GCST000320,20:4188432
rs3810265-<b>?</b>,"4 x 10-6",,0.07,'-,'-,'-,"TSKS, CPT1C","Panic disorder","panic disorder",'-,GCST000320,19:49720009
rs35546597-<b>?</b>,"2 x 10-8",(EA),NR,'-,'-,'-,"AURKB, BORCS6","Anxiety disorders","anxiety disorder, panic disorder",'-,GCST009838,17:8201734
rs10534613-<b>?</b>,"5 x 10-8",(EA),NR,'-,'-,'-,IQCE,"Anxiety disorders","anxiety disorder, panic disorder",'-,GCST009838,7:2592402
