variant_and_allele,p_value,trait,gene,location,af,tissues
rs3130820-<b>?</b>,2e-44,schizophrenia,OR2U1P,6:29238906,-1.0,
rs3130820-<b>?</b>,2e-44,schizophrenia,OR2G1P,6:29238906,-1.0,
rs115329265-<b>A</b>,5e-36,schizophrenia,NOP56P1,6:28744470,-1.0,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs115329265-<b>A</b>,5e-36,schizophrenia,RPSAP2,6:28744470,-1.0,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs9257566-<b>?</b>,7e-30,schizophrenia,OR2J2,6:29176755,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Whole_Blood&Skin_Sun_Exposed_Lower_leg&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Cerebellum
rs9257566-<b>?</b>,7e-30,schizophrenia,OR2J4P,6:29176755,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Whole_Blood&Skin_Sun_Exposed_Lower_leg&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Cerebellum
rs150817755-<b>T</b>,1.0000000000000001e-29,schizophrenia,OR2U1P,6:29238906,-1.0,
rs150817755-<b>T</b>,1.0000000000000001e-29,schizophrenia,OR2G1P,6:29238906,-1.0,
rs13217619-<b>T</b>,2.0000000000000002e-29,schizophrenia,ZSCAN31,6:28338894,0.9182843334675796,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Cerebellum
rs33932084-<b>A</b>,2.9999999999999997e-29,schizophrenia,PGBD1,6:28301047,0.9226042939430964,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum
