"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs4703129-<b>?</b>,"1 x 10-6",,0.41,'-,'-,'-,CTBP2P4,"Asperger disorder","Asperger syndrome",'-,GCST000904,5:98553032
rs7179456-<b>?</b>,"7 x 10-6",,0.39,'-,'-,'-,"RNF111, SLTM","Asperger disorder","Asperger syndrome",'-,GCST000904,15:58882340
rs1550976-<b>?</b>,"2 x 10-6",,0.33,'-,'-,'-,NTM,"Asperger disorder","Asperger syndrome",'-,GCST000904,11:131450176
rs892055-<b>?</b>,"5 x 10-6",,0.33,'-,'-,'-,RASGRP4,"Asperger disorder","Asperger syndrome",'-,GCST000904,19:38422124
rs10510837-<b>?</b>,"4 x 10-6",,0.12,'-,'-,'-,FHIT,"Asperger disorder","Asperger syndrome",'-,GCST000904,3:60304113
rs4773054-<b>?</b>,"7 x 10-8","(Autism paternal model)",NR,2.9,'-,[1.91-4.39],'-,"Autism spectrum disorder-related traits",autism,'-,GCST002639,13:109501681
"rs8453-<b>G</b>, rs926938-<b>A</b>","3 x 10-8",,0.481,'-,'-,'-,"CSDE1; No mapped genes",Autism,autism,'-,GCST002268,1:114716978
"rs8453-<b>G</b>, rs10489525-<b>G</b>, rs926938-<b>A</b>","9 x 10-8",,0.465,'-,'-,'-,"CSDE1; No mapped genes; No mapped genes",Autism,autism,'-,GCST002268,1:114716978
"rs11582563-<b>G</b>, rs7511633-<b>G</b>, rs6537825-<b>A</b>, rs11585926-<b>T</b>, rs6661053-<b>T</b>, rs11589568-<b>T</b>","2 x 10-7",,0.382,'-,'-,'-,"TRIM33; No mapped genes; No mapped genes; TRIM33; No mapped genes; No mapped genes",Autism,autism,'-,GCST002268,1:114416918|1:114431068
"rs11582563-<b>G</b>, rs7511633-<b>G</b>, rs11102800-<b>C</b>, rs6537825-<b>A</b>, rs11585926-<b>T</b>, rs6661053-<b>T</b>, rs11589568-<b>T</b>","6 x 10-8",,0.382,'-,'-,'-,"TRIM33; No mapped genes; No mapped genes; No mapped genes; TRIM33; No mapped genes; No mapped genes",Autism,autism,'-,GCST002268,1:114416918|1:114431068
