,variant_and_allele,p_value,trait,gene,location
54,rs62062288-<b>A</b>,7e-22,neurotic disorder,MAPT,17:46019187
55,rs2921036-<b>T</b>,2.9999999999999997e-20,neurotic disorder,RN7SL178P,8:8506387
55,rs2921036-<b>T</b>,2.9999999999999997e-20,neurotic disorder,PRAG1,8:8506387
56,rs11250117-<b>A</b>,3e-19,neurotic disorder,XKR6,8:11115230
58,rs11665070-<b>G</b>,3e-16,neurotic disorder,MIR4318,18:37572600
58,rs11665070-<b>G</b>,3e-16,neurotic disorder,CELF4,18:37572600
57,rs35738585-<b>G</b>,4e-16,neurotic disorder,DRD2,11:113515625
59,rs477860-<b>T</b>,6e-14,neurotic disorder,MIR124-1HG,8:9954255
60,rs10144845-<b>C</b>,4e-13,neurotic disorder,YLPM1,14:74771067
62,rs2269426-<b>A</b>,3e-12,neurotic disorder,TNXB,6:32108722
63,rs7107356-<b>A</b>,5e-12,neurotic disorder,AGBL2,11:47654618
63,rs7107356-<b>A</b>,5e-12,neurotic disorder,MTCH2,11:47654618
61,rs2042555-<b>A</b>,5e-12,neurotic disorder,ACVR2A,2:147797920
61,rs2042555-<b>A</b>,5e-12,neurotic disorder,RNA5SP106,2:147797920
94,rs11090045-<b>A</b>,1e-11,neurotic disorder,ZC3H7B,22:41357599
40,rs10959883-<b>C</b>,3e-11,anxiety disorder,UNKNOWN,9:11519984
92,rs10896636-<b>G</b>,3e-11,neurotic disorder,ZDHHC5,11:57680560
91,rs2071754-<b>C</b>,4e-11,neurotic disorder,PAX6,11:31791034
93,rs4140799-<b>G</b>,4e-11,neurotic disorder,SIPA1L1,14:71704252
89,rs13226841-<b>C</b>,6e-11,neurotic disorder,GRM8,7:126749354
90,rs7845515-<b>A</b>,6.999999999999999e-11,neurotic disorder,SNORA70,8:5088706
90,rs7845515-<b>A</b>,6.999999999999999e-11,neurotic disorder,CSMD1,8:5088706
104,rs56084168-<b>T</b>,1e-10,neurotic disorder,AATK,17:81110774
104,rs56084168-<b>T</b>,1e-10,neurotic disorder,BAIAP2,17:81110774
98,rs4413518-<b>A</b>,1e-10,neurotic disorder,FBXL17,5:108402300
99,rs11509880-<b>A</b>,2e-10,neurotic disorder,TMEM106B,7:12222285
105,rs56403421-<b>C</b>,4e-10,neurotic disorder,LINC01929,18:55098052
105,rs56403421-<b>C</b>,4e-10,neurotic disorder,CCDC68,18:55098052
